DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, localhost:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2212
INFO:tensorflow:Learning rate: 0.001000, momentum: 0.900000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 2
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 8
INFO:tensorflow:Tokens per step: 8
INFO:tensorflow:2016-07-26 13:37:50.448698 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 13:38:05.929706 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.091374, time: 35.628 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.120003, time: 16.846 sec/batch
INFO:tensorflow:Step: 403, Loss: 6.070900, time: 17.014 sec/batch
INFO:tensorflow:Step: 405, Loss: 5.863942, time: 16.043 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.652970, time: 15.899 sec/batch
INFO:tensorflow:Step: 409, Loss: 5.269349, time: 18.045 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.279854, time: 14.925 sec/batch
INFO:tensorflow:Step: 413, Loss: 5.604708, time: 16.961 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.033724, time: 21.472 sec/batch
INFO:tensorflow:Step: 418, Loss: 5.819925, time: 19.005 sec/batch
INFO:tensorflow:Step: 419, Loss: 5.487278, time: 17.700 sec/batch
INFO:tensorflow:Step: 422, Loss: 5.443604, time: 19.148 sec/batch
INFO:tensorflow:Step: 423, Loss: 5.534765, time: 19.935 sec/batch
INFO:tensorflow:Step: 426, Loss: 5.832075, time: 20.662 sec/batch
INFO:tensorflow:Step: 428, Loss: 5.463826, time: 19.940 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.139781, time: 20.421 sec/batch
INFO:tensorflow:Step: 432, Loss: 5.559738, time: 18.047 sec/batch
INFO:tensorflow:Step: 434, Loss: 5.816071, time: 19.078 sec/batch
INFO:tensorflow:Step: 435, Loss: 5.409357, time: 17.162 sec/batch
INFO:tensorflow:Step: 438, Loss: 5.669293, time: 18.247 sec/batch
INFO:tensorflow:Step: 439, Loss: 5.437937, time: 16.619 sec/batch
INFO:tensorflow:Step: 441, Loss: 4.924371, time: 17.166 sec/batch
INFO:tensorflow:Step: 444, Loss: 5.313546, time: 18.746 sec/batch
INFO:tensorflow:Step: 446, Loss: 4.946555, time: 18.568 sec/batch
INFO:tensorflow:Step: 448, Loss: 5.426220, time: 19.188 sec/batch
INFO:tensorflow:Step: 450, Loss: 5.497121, time: 19.552 sec/batch
INFO:tensorflow:Step: 452, Loss: 5.357792, time: 15.723 sec/batch
INFO:tensorflow:Step: 454, Loss: 5.279096, time: 16.561 sec/batch
run-expr-32node.sh: line 23: 60810 Terminated              CUDA_VISIBLE_DEVICES='' bazel-bin/inception/imagenet_distributed_train --batch_size=16 --data_dir=/lfs/local/0/daniter/16node-data-$2 --job_name='worker' --task_id=$2 --ps_hosts='raiders1:2200' --worker_hosts='raiders1:2201,raiders1:2202,raiders1:2203,raiders1:2204,raiders2:2205,raiders2:2206,raiders2:2207,raiders2:2208,raiders3:2209,raiders3:2210,raiders3:2211,raiders3:2212,raiders8:2213,raiders8:2214,raiders8:2215,raiders8:2216' --initial_learning_rate=$3 --momentum=$4 --sync=True --compute_groups=$5
