DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, localhost:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2207
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.900000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 2
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 8
INFO:tensorflow:Tokens per step: 8
INFO:tensorflow:2016-07-26 08:55:38.763014 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 08:55:53.923297 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.598597, time: 39.922 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.623029, time: 20.943 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.567426, time: 23.089 sec/batch
INFO:tensorflow:Step: 405, Loss: 6.147472, time: 16.353 sec/batch
INFO:tensorflow:Step: 408, Loss: 6.062684, time: 15.945 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.346264, time: 17.925 sec/batch
INFO:tensorflow:Step: 413, Loss: 6.275125, time: 18.337 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.634340, time: 15.027 sec/batch
INFO:tensorflow:Step: 417, Loss: 6.263015, time: 16.351 sec/batch
INFO:tensorflow:Step: 420, Loss: 6.114462, time: 25.940 sec/batch
INFO:tensorflow:Step: 423, Loss: 6.623554, time: 20.139 sec/batch
INFO:tensorflow:Step: 426, Loss: 6.540679, time: 17.719 sec/batch
INFO:tensorflow:Step: 428, Loss: 6.261876, time: 23.550 sec/batch
INFO:tensorflow:Step: 431, Loss: 8.007381, time: 34.349 sec/batch
INFO:tensorflow:Step: 434, Loss: 8.941611, time: 31.885 sec/batch
INFO:tensorflow:Step: 437, Loss: 8.255413, time: 26.930 sec/batch
INFO:tensorflow:Step: 439, Loss: 6.289179, time: 27.004 sec/batch
INFO:tensorflow:Step: 441, Loss: 6.637201, time: 33.548 sec/batch
INFO:tensorflow:Step: 443, Loss: 6.133918, time: 35.168 sec/batch
INFO:tensorflow:Step: 445, Loss: 6.648545, time: 33.822 sec/batch
INFO:tensorflow:Step: 447, Loss: 6.539560, time: 24.177 sec/batch
INFO:tensorflow:Step: 449, Loss: 6.509202, time: 26.015 sec/batch
INFO:tensorflow:Step: 451, Loss: 6.389593, time: 31.041 sec/batch
INFO:tensorflow:Step: 453, Loss: 5.939892, time: 43.647 sec/batch
INFO:tensorflow:Step: 455, Loss: 6.138666, time: 49.222 sec/batch
INFO:tensorflow:Step: 457, Loss: 6.241074, time: 42.873 sec/batch
INFO:tensorflow:Step: 459, Loss: 5.507281, time: 40.688 sec/batch
INFO:tensorflow:Step: 461, Loss: 5.742795, time: 32.890 sec/batch
INFO:tensorflow:Step: 463, Loss: 6.019481, time: 40.821 sec/batch
INFO:tensorflow:Step: 465, Loss: 5.916280, time: 40.525 sec/batch
INFO:tensorflow:Step: 467, Loss: 5.905318, time: 30.563 sec/batch
INFO:tensorflow:Step: 469, Loss: 5.635119, time: 35.219 sec/batch
INFO:tensorflow:Step: 471, Loss: 6.216032, time: 42.710 sec/batch
INFO:tensorflow:Step: 473, Loss: 5.992628, time: 29.692 sec/batch
INFO:tensorflow:Step: 475, Loss: 5.316067, time: 43.009 sec/batch
INFO:tensorflow:Step: 477, Loss: 6.025561, time: 44.429 sec/batch
INFO:tensorflow:Step: 479, Loss: 6.158852, time: 44.464 sec/batch
INFO:tensorflow:Step: 481, Loss: 5.404568, time: 45.755 sec/batch
INFO:tensorflow:Step: 483, Loss: 6.101993, time: 33.929 sec/batch
INFO:tensorflow:Step: 485, Loss: 5.498469, time: 37.861 sec/batch
INFO:tensorflow:Step: 487, Loss: 5.681663, time: 40.396 sec/batch
INFO:tensorflow:Step: 489, Loss: 5.416942, time: 46.443 sec/batch
INFO:tensorflow:Step: 491, Loss: 5.936765, time: 32.765 sec/batch
INFO:tensorflow:Step: 493, Loss: 5.362866, time: 28.898 sec/batch
INFO:tensorflow:Step: 495, Loss: 5.712209, time: 28.390 sec/batch
INFO:tensorflow:Step: 497, Loss: 5.143939, time: 43.477 sec/batch
INFO:tensorflow:Step: 499, Loss: 5.527326, time: 48.271 sec/batch
INFO:tensorflow:Step: 501, Loss: 5.211014, time: 37.039 sec/batch
INFO:tensorflow:Step: 503, Loss: 5.349699, time: 32.818 sec/batch
INFO:tensorflow:Step: 505, Loss: 4.972963, time: 28.047 sec/batch
INFO:tensorflow:Step: 507, Loss: 5.578740, time: 37.217 sec/batch
INFO:tensorflow:Step: 509, Loss: 5.359820, time: 41.653 sec/batch
INFO:tensorflow:Step: 511, Loss: 5.809460, time: 42.657 sec/batch
INFO:tensorflow:Step: 513, Loss: 5.081830, time: 37.553 sec/batch
INFO:tensorflow:Step: 515, Loss: 5.948248, time: 30.189 sec/batch
INFO:tensorflow:Step: 517, Loss: 5.968196, time: 36.995 sec/batch
INFO:tensorflow:Step: 519, Loss: 5.190016, time: 38.089 sec/batch
INFO:tensorflow:Step: 521, Loss: 5.123115, time: 35.264 sec/batch
INFO:tensorflow:Step: 523, Loss: 5.185739, time: 31.529 sec/batch
INFO:tensorflow:Step: 525, Loss: 5.343617, time: 35.108 sec/batch
INFO:tensorflow:Step: 527, Loss: 5.528111, time: 27.528 sec/batch
INFO:tensorflow:Step: 529, Loss: 5.482857, time: 34.854 sec/batch
INFO:tensorflow:Step: 531, Loss: 5.172506, time: 29.165 sec/batch
INFO:tensorflow:Step: 533, Loss: 5.162939, time: 30.460 sec/batch
INFO:tensorflow:Step: 535, Loss: 5.125382, time: 32.786 sec/batch
