DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, localhost:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2208
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.900000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 2
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 8
INFO:tensorflow:Tokens per step: 8
INFO:tensorflow:2016-07-26 08:55:38.470208 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 08:55:53.645585 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 6.609056, time: 39.892 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.590742, time: 19.294 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.752291, time: 20.411 sec/batch
INFO:tensorflow:Step: 405, Loss: 5.272441, time: 16.851 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.419166, time: 13.981 sec/batch
INFO:tensorflow:Step: 409, Loss: 6.083001, time: 13.584 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.927442, time: 18.178 sec/batch
INFO:tensorflow:Step: 414, Loss: 5.985187, time: 14.670 sec/batch
INFO:tensorflow:Step: 416, Loss: 6.586056, time: 15.171 sec/batch
INFO:tensorflow:Step: 418, Loss: 6.753987, time: 16.517 sec/batch
INFO:tensorflow:Step: 420, Loss: 6.069964, time: 24.267 sec/batch
INFO:tensorflow:Step: 424, Loss: 7.051603, time: 30.175 sec/batch
INFO:tensorflow:Step: 428, Loss: 6.951485, time: 24.860 sec/batch
INFO:tensorflow:Step: 430, Loss: 7.495492, time: 33.737 sec/batch
INFO:tensorflow:Step: 433, Loss: 7.117354, time: 30.633 sec/batch
INFO:tensorflow:Step: 436, Loss: 7.568464, time: 11.715 sec/batch
INFO:tensorflow:Step: 438, Loss: 5.879927, time: 35.582 sec/batch
INFO:tensorflow:Step: 440, Loss: 8.093018, time: 28.556 sec/batch
INFO:tensorflow:Step: 442, Loss: 6.412422, time: 33.684 sec/batch
INFO:tensorflow:Step: 444, Loss: 7.295546, time: 35.479 sec/batch
INFO:tensorflow:Step: 446, Loss: 6.783810, time: 34.261 sec/batch
INFO:tensorflow:Step: 448, Loss: 7.052388, time: 24.728 sec/batch
INFO:tensorflow:Step: 450, Loss: 7.386401, time: 24.722 sec/batch
INFO:tensorflow:Step: 452, Loss: 5.687116, time: 35.159 sec/batch
INFO:tensorflow:Step: 454, Loss: 5.203938, time: 44.847 sec/batch
INFO:tensorflow:Step: 456, Loss: 5.933846, time: 47.671 sec/batch
INFO:tensorflow:Step: 458, Loss: 7.033648, time: 40.927 sec/batch
INFO:tensorflow:Step: 460, Loss: 6.783130, time: 38.328 sec/batch
INFO:tensorflow:Step: 462, Loss: 6.492336, time: 37.786 sec/batch
INFO:tensorflow:Step: 464, Loss: 5.496453, time: 46.605 sec/batch
INFO:tensorflow:Step: 466, Loss: 6.109933, time: 40.116 sec/batch
INFO:tensorflow:Step: 468, Loss: 6.232682, time: 31.668 sec/batch
INFO:tensorflow:Step: 470, Loss: 6.050135, time: 33.686 sec/batch
INFO:tensorflow:Step: 472, Loss: 6.155571, time: 39.955 sec/batch
INFO:tensorflow:Step: 474, Loss: 5.485292, time: 30.264 sec/batch
INFO:tensorflow:Step: 476, Loss: 5.605283, time: 40.541 sec/batch
INFO:tensorflow:Step: 478, Loss: 6.171440, time: 45.452 sec/batch
INFO:tensorflow:Step: 480, Loss: 6.026676, time: 44.652 sec/batch
INFO:tensorflow:Step: 482, Loss: 5.242238, time: 45.914 sec/batch
