DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, localhost:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2205
INFO:tensorflow:Learning rate: 0.005000, momentum: 0.900000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 2
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 8
INFO:tensorflow:Tokens per step: 8
INFO:tensorflow:2016-07-26 11:16:51.393816 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 11:17:07.718195 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 4.899766, time: 34.912 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.238379, time: 15.765 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.839496, time: 16.782 sec/batch
INFO:tensorflow:Step: 405, Loss: 5.844967, time: 15.032 sec/batch
INFO:tensorflow:Step: 407, Loss: 6.245719, time: 15.626 sec/batch
INFO:tensorflow:Step: 409, Loss: 7.463161, time: 13.781 sec/batch
INFO:tensorflow:Step: 411, Loss: 7.332138, time: 12.991 sec/batch
INFO:tensorflow:Step: 413, Loss: 8.090913, time: 13.919 sec/batch
INFO:tensorflow:Step: 415, Loss: 8.963039, time: 15.132 sec/batch
INFO:tensorflow:Step: 417, Loss: 8.610428, time: 14.666 sec/batch
INFO:tensorflow:Step: 419, Loss: 10.713903, time: 13.983 sec/batch
INFO:tensorflow:Step: 421, Loss: 9.424716, time: 13.585 sec/batch
INFO:tensorflow:Step: 423, Loss: 9.674695, time: 15.252 sec/batch
INFO:tensorflow:Step: 425, Loss: 11.189746, time: 15.213 sec/batch
INFO:tensorflow:Step: 427, Loss: 6.811176, time: 17.006 sec/batch
INFO:tensorflow:Step: 429, Loss: 7.589090, time: 14.337 sec/batch
INFO:tensorflow:Step: 431, Loss: 11.622147, time: 13.836 sec/batch
INFO:tensorflow:Step: 433, Loss: 10.421926, time: 13.992 sec/batch
INFO:tensorflow:Step: 435, Loss: 6.854679, time: 14.467 sec/batch
INFO:tensorflow:Step: 437, Loss: 8.519108, time: 14.029 sec/batch
INFO:tensorflow:Step: 439, Loss: 7.968647, time: 14.736 sec/batch
INFO:tensorflow:Step: 441, Loss: 7.637998, time: 13.253 sec/batch
INFO:tensorflow:Step: 443, Loss: 7.131258, time: 13.551 sec/batch
INFO:tensorflow:Step: 445, Loss: 6.550348, time: 15.241 sec/batch
INFO:tensorflow:Step: 447, Loss: 7.204606, time: 14.840 sec/batch
INFO:tensorflow:Step: 449, Loss: 7.091892, time: 14.048 sec/batch
INFO:tensorflow:Step: 451, Loss: 7.025064, time: 14.971 sec/batch
INFO:tensorflow:Step: 453, Loss: 9.481511, time: 15.230 sec/batch
INFO:tensorflow:Step: 455, Loss: 6.088235, time: 15.481 sec/batch
INFO:tensorflow:Step: 457, Loss: 6.195250, time: 14.800 sec/batch
INFO:tensorflow:Step: 459, Loss: 6.453218, time: 14.343 sec/batch
INFO:tensorflow:Step: 461, Loss: 6.395555, time: 16.673 sec/batch
INFO:tensorflow:Step: 463, Loss: 6.375386, time: 17.401 sec/batch
INFO:tensorflow:Step: 465, Loss: 6.102277, time: 17.074 sec/batch
INFO:tensorflow:Step: 467, Loss: 5.588274, time: 18.749 sec/batch
INFO:tensorflow:Step: 469, Loss: 5.978200, time: 14.832 sec/batch
INFO:tensorflow:Step: 471, Loss: 6.406651, time: 15.060 sec/batch
INFO:tensorflow:Step: 473, Loss: 5.938396, time: 14.237 sec/batch
INFO:tensorflow:Step: 475, Loss: 5.661229, time: 16.393 sec/batch
