DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, localhost:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2210
INFO:tensorflow:Learning rate: 0.001000, momentum: 0.900000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 4
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 4
INFO:tensorflow:Tokens per step: 4
INFO:tensorflow:2016-07-26 12:52:50.499648 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 12:53:07.610972 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.856303, time: 23.623 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.454424, time: 19.238 sec/batch
INFO:tensorflow:Step: 403, Loss: 4.959913, time: 16.600 sec/batch
INFO:tensorflow:Step: 410, Loss: 5.273694, time: 15.473 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.054879, time: 11.948 sec/batch
INFO:tensorflow:Step: 418, Loss: 5.878186, time: 14.336 sec/batch
INFO:tensorflow:Step: 422, Loss: 5.307170, time: 13.202 sec/batch
INFO:tensorflow:Step: 426, Loss: 5.468366, time: 13.902 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.340920, time: 9.690 sec/batch
INFO:tensorflow:Step: 434, Loss: 6.812737, time: 13.456 sec/batch
INFO:tensorflow:Step: 438, Loss: 5.964292, time: 11.252 sec/batch
INFO:tensorflow:Step: 440, Loss: 5.265497, time: 13.831 sec/batch
INFO:tensorflow:Step: 444, Loss: 5.636535, time: 13.788 sec/batch
INFO:tensorflow:Step: 448, Loss: 5.264713, time: 16.085 sec/batch
INFO:tensorflow:Step: 454, Loss: 6.894434, time: 12.758 sec/batch
INFO:tensorflow:Step: 458, Loss: 5.470806, time: 13.069 sec/batch
INFO:tensorflow:Step: 462, Loss: 5.888924, time: 15.120 sec/batch
INFO:tensorflow:Step: 466, Loss: 5.463353, time: 13.714 sec/batch
INFO:tensorflow:Step: 471, Loss: 7.071268, time: 16.089 sec/batch
INFO:tensorflow:Step: 475, Loss: 5.535617, time: 14.238 sec/batch
INFO:tensorflow:Step: 479, Loss: 5.746944, time: 14.163 sec/batch
INFO:tensorflow:Step: 483, Loss: 5.475183, time: 13.729 sec/batch
INFO:tensorflow:Step: 487, Loss: 5.577510, time: 14.697 sec/batch
INFO:tensorflow:Step: 490, Loss: 5.146178, time: 13.799 sec/batch
INFO:tensorflow:Step: 494, Loss: 5.400238, time: 14.209 sec/batch
INFO:tensorflow:Step: 498, Loss: 6.090191, time: 14.479 sec/batch
INFO:tensorflow:Step: 502, Loss: 6.842568, time: 13.995 sec/batch
INFO:tensorflow:Step: 506, Loss: 5.542932, time: 13.525 sec/batch
INFO:tensorflow:Step: 510, Loss: 5.413320, time: 14.786 sec/batch
INFO:tensorflow:Step: 513, Loss: 5.832567, time: 13.774 sec/batch
INFO:tensorflow:Step: 517, Loss: 6.302592, time: 14.266 sec/batch
INFO:tensorflow:Step: 521, Loss: 5.740481, time: 13.850 sec/batch
INFO:tensorflow:Step: 525, Loss: 5.732193, time: 13.706 sec/batch
INFO:tensorflow:Step: 529, Loss: 6.159634, time: 13.929 sec/batch
INFO:tensorflow:Step: 533, Loss: 5.526517, time: 14.241 sec/batch
INFO:tensorflow:Step: 537, Loss: 6.522757, time: 14.534 sec/batch
INFO:tensorflow:Step: 540, Loss: 5.680209, time: 13.472 sec/batch
INFO:tensorflow:Step: 544, Loss: 5.409693, time: 14.180 sec/batch
INFO:tensorflow:Step: 548, Loss: 4.925521, time: 14.418 sec/batch
INFO:tensorflow:Step: 552, Loss: 5.466283, time: 13.618 sec/batch
INFO:tensorflow:Step: 556, Loss: 5.757191, time: 13.928 sec/batch
INFO:tensorflow:Step: 560, Loss: 5.625241, time: 14.345 sec/batch
INFO:tensorflow:Step: 564, Loss: 5.368267, time: 13.211 sec/batch
INFO:tensorflow:Step: 568, Loss: 5.222168, time: 14.256 sec/batch
INFO:tensorflow:Step: 572, Loss: 5.122361, time: 13.057 sec/batch
INFO:tensorflow:Step: 576, Loss: 5.011219, time: 13.975 sec/batch
INFO:tensorflow:Step: 580, Loss: 5.267621, time: 14.019 sec/batch
INFO:tensorflow:Step: 583, Loss: 5.237884, time: 14.028 sec/batch
INFO:tensorflow:Step: 588, Loss: 5.489369, time: 15.910 sec/batch
INFO:tensorflow:Step: 590, Loss: 5.885158, time: 15.254 sec/batch
INFO:tensorflow:Step: 593, Loss: 5.390327, time: 12.974 sec/batch
INFO:tensorflow:Step: 597, Loss: 5.014154, time: 13.496 sec/batch
INFO:tensorflow:Step: 601, Loss: 5.298534, time: 14.286 sec/batch
INFO:tensorflow:Step: 605, Loss: 5.499102, time: 14.200 sec/batch
INFO:tensorflow:Step: 609, Loss: 5.086516, time: 13.498 sec/batch
INFO:tensorflow:Step: 613, Loss: 5.237642, time: 13.923 sec/batch
INFO:tensorflow:Step: 617, Loss: 5.282359, time: 13.755 sec/batch
INFO:tensorflow:Step: 621, Loss: 5.245025, time: 13.958 sec/batch
INFO:tensorflow:Step: 625, Loss: 4.997527, time: 13.627 sec/batch
INFO:tensorflow:Step: 629, Loss: 5.703535, time: 13.620 sec/batch
INFO:tensorflow:Step: 633, Loss: 5.469975, time: 14.627 sec/batch
INFO:tensorflow:Step: 637, Loss: 5.784315, time: 13.722 sec/batch
INFO:tensorflow:Step: 640, Loss: 5.557283, time: 14.751 sec/batch
INFO:tensorflow:Step: 644, Loss: 5.405890, time: 14.131 sec/batch
INFO:tensorflow:Step: 647, Loss: 5.941741, time: 14.025 sec/batch
INFO:tensorflow:Step: 650, Loss: 5.649729, time: 14.757 sec/batch
INFO:tensorflow:Step: 654, Loss: 4.987435, time: 13.807 sec/batch
INFO:tensorflow:Step: 658, Loss: 5.060991, time: 13.898 sec/batch
INFO:tensorflow:Step: 662, Loss: 4.950109, time: 13.188 sec/batch
INFO:tensorflow:Step: 666, Loss: 4.997148, time: 12.765 sec/batch
INFO:tensorflow:Step: 670, Loss: 5.017919, time: 14.506 sec/batch
INFO:tensorflow:Step: 674, Loss: 5.006657, time: 13.198 sec/batch
INFO:tensorflow:Step: 678, Loss: 5.157093, time: 13.646 sec/batch
INFO:tensorflow:Step: 682, Loss: 5.497683, time: 13.607 sec/batch
INFO:tensorflow:Step: 686, Loss: 5.101670, time: 13.586 sec/batch
INFO:tensorflow:Step: 690, Loss: 5.082266, time: 14.524 sec/batch
INFO:tensorflow:Step: 694, Loss: 5.403825, time: 14.894 sec/batch
INFO:tensorflow:Step: 697, Loss: 4.942091, time: 13.737 sec/batch
INFO:tensorflow:Step: 701, Loss: 5.790040, time: 14.146 sec/batch
INFO:tensorflow:Step: 705, Loss: 5.098073, time: 13.788 sec/batch
INFO:tensorflow:Step: 708, Loss: 5.221595, time: 15.481 sec/batch
INFO:tensorflow:Step: 711, Loss: 4.986631, time: 14.174 sec/batch
INFO:tensorflow:Step: 715, Loss: 5.581477, time: 12.662 sec/batch
INFO:tensorflow:Step: 719, Loss: 5.392961, time: 13.910 sec/batch
INFO:tensorflow:Step: 723, Loss: 5.079054, time: 13.540 sec/batch
INFO:tensorflow:Step: 727, Loss: 5.573966, time: 13.694 sec/batch
INFO:tensorflow:Step: 731, Loss: 6.542457, time: 12.872 sec/batch
INFO:tensorflow:Step: 735, Loss: 5.299386, time: 12.880 sec/batch
INFO:tensorflow:Step: 739, Loss: 5.100675, time: 13.823 sec/batch
INFO:tensorflow:Step: 742, Loss: 5.951221, time: 13.599 sec/batch
INFO:tensorflow:Step: 746, Loss: 4.685049, time: 15.251 sec/batch
INFO:tensorflow:Step: 748, Loss: 5.706424, time: 12.218 sec/batch
INFO:tensorflow:Step: 752, Loss: 5.320985, time: 13.773 sec/batch
INFO:tensorflow:Step: 756, Loss: 5.355086, time: 13.088 sec/batch
INFO:tensorflow:Step: 760, Loss: 5.008609, time: 13.359 sec/batch
INFO:tensorflow:Step: 764, Loss: 5.621423, time: 13.595 sec/batch
INFO:tensorflow:Step: 768, Loss: 5.313962, time: 13.382 sec/batch
INFO:tensorflow:Step: 772, Loss: 5.334707, time: 13.617 sec/batch
INFO:tensorflow:Step: 776, Loss: 5.396765, time: 12.805 sec/batch
INFO:tensorflow:Step: 778, Loss: 5.025088, time: 16.607 sec/batch
INFO:tensorflow:Step: 784, Loss: 5.073356, time: 14.789 sec/batch
INFO:tensorflow:Step: 787, Loss: 5.527736, time: 15.499 sec/batch
INFO:tensorflow:Step: 790, Loss: 5.084203, time: 15.390 sec/batch
INFO:tensorflow:Step: 795, Loss: 5.438182, time: 17.030 sec/batch
INFO:tensorflow:Step: 800, Loss: 5.464788, time: 13.559 sec/batch
INFO:tensorflow:Step: 801, Loss: 5.205294, time: 14.222 sec/batch
INFO:tensorflow:Step: 805, Loss: 5.188439, time: 14.898 sec/batch
INFO:tensorflow:Step: 809, Loss: 5.304967, time: 11.171 sec/batch
INFO:tensorflow:Step: 813, Loss: 5.654442, time: 13.177 sec/batch
INFO:tensorflow:Step: 817, Loss: 5.084399, time: 12.645 sec/batch
INFO:tensorflow:Step: 821, Loss: 4.772748, time: 13.022 sec/batch
INFO:tensorflow:Step: 825, Loss: 4.872600, time: 12.826 sec/batch
INFO:tensorflow:Step: 827, Loss: 5.583451, time: 13.665 sec/batch
INFO:tensorflow:Step: 830, Loss: 5.515734, time: 13.540 sec/batch
INFO:tensorflow:Step: 834, Loss: 5.764241, time: 13.074 sec/batch
INFO:tensorflow:Step: 838, Loss: 4.842118, time: 13.848 sec/batch
INFO:tensorflow:Step: 842, Loss: 5.453631, time: 13.212 sec/batch
INFO:tensorflow:Step: 846, Loss: 5.255521, time: 13.100 sec/batch
INFO:tensorflow:Step: 850, Loss: 5.308901, time: 13.443 sec/batch
INFO:tensorflow:Step: 854, Loss: 4.984919, time: 13.909 sec/batch
INFO:tensorflow:Step: 858, Loss: 5.301376, time: 13.161 sec/batch
INFO:tensorflow:Step: 861, Loss: 5.108300, time: 12.996 sec/batch
INFO:tensorflow:Step: 864, Loss: 5.064543, time: 13.900 sec/batch
INFO:tensorflow:Step: 869, Loss: 5.261789, time: 15.846 sec/batch
INFO:tensorflow:Step: 872, Loss: 5.921282, time: 15.530 sec/batch
INFO:tensorflow:Step: 875, Loss: 5.723124, time: 12.290 sec/batch
INFO:tensorflow:Step: 879, Loss: 5.029391, time: 12.832 sec/batch
INFO:tensorflow:Step: 883, Loss: 5.364573, time: 13.739 sec/batch
INFO:tensorflow:Step: 887, Loss: 5.540107, time: 12.927 sec/batch
INFO:tensorflow:Step: 891, Loss: 4.725322, time: 12.389 sec/batch
INFO:tensorflow:Step: 895, Loss: 5.266196, time: 12.860 sec/batch
INFO:tensorflow:Step: 898, Loss: 5.055276, time: 14.438 sec/batch
INFO:tensorflow:Step: 901, Loss: 5.247358, time: 14.354 sec/batch
INFO:tensorflow:Step: 905, Loss: 5.554555, time: 13.170 sec/batch
INFO:tensorflow:Step: 909, Loss: 4.877362, time: 13.201 sec/batch
INFO:tensorflow:Step: 912, Loss: 5.226623, time: 13.362 sec/batch
INFO:tensorflow:Step: 916, Loss: 5.199001, time: 13.280 sec/batch
INFO:tensorflow:Step: 920, Loss: 4.823318, time: 13.289 sec/batch
INFO:tensorflow:Step: 924, Loss: 4.910979, time: 13.149 sec/batch
INFO:tensorflow:Step: 928, Loss: 4.947619, time: 13.195 sec/batch
INFO:tensorflow:Step: 932, Loss: 4.894121, time: 12.943 sec/batch
INFO:tensorflow:Step: 936, Loss: 5.276495, time: 13.048 sec/batch
INFO:tensorflow:Step: 939, Loss: 5.724730, time: 13.424 sec/batch
INFO:tensorflow:Step: 943, Loss: 5.601155, time: 13.553 sec/batch
INFO:tensorflow:Step: 947, Loss: 5.045735, time: 13.702 sec/batch
INFO:tensorflow:Step: 949, Loss: 5.109077, time: 12.912 sec/batch
INFO:tensorflow:Step: 953, Loss: 5.605433, time: 13.346 sec/batch
INFO:tensorflow:Step: 957, Loss: 5.480225, time: 13.941 sec/batch
INFO:tensorflow:Step: 961, Loss: 5.320507, time: 13.184 sec/batch
INFO:tensorflow:Step: 965, Loss: 5.696599, time: 13.777 sec/batch
INFO:tensorflow:Step: 969, Loss: 5.028120, time: 13.947 sec/batch
INFO:tensorflow:Step: 973, Loss: 5.373725, time: 13.201 sec/batch
INFO:tensorflow:Step: 977, Loss: 5.259877, time: 11.947 sec/batch
INFO:tensorflow:Step: 980, Loss: 4.815253, time: 13.109 sec/batch
INFO:tensorflow:Step: 984, Loss: 5.836380, time: 12.841 sec/batch
INFO:tensorflow:Step: 987, Loss: 5.216292, time: 13.220 sec/batch
INFO:tensorflow:Step: 991, Loss: 5.372892, time: 13.217 sec/batch
INFO:tensorflow:Step: 994, Loss: 5.704782, time: 14.085 sec/batch
INFO:tensorflow:Step: 998, Loss: 5.925978, time: 12.765 sec/batch
INFO:tensorflow:Step: 1002, Loss: 5.312323, time: 13.756 sec/batch
INFO:tensorflow:Step: 1006, Loss: 5.134970, time: 14.105 sec/batch
INFO:tensorflow:Step: 1010, Loss: 5.471241, time: 12.621 sec/batch
INFO:tensorflow:Step: 1014, Loss: 5.565822, time: 13.057 sec/batch
INFO:tensorflow:Step: 1018, Loss: 4.951578, time: 13.349 sec/batch
INFO:tensorflow:Step: 1022, Loss: 5.824465, time: 12.869 sec/batch
INFO:tensorflow:Step: 1025, Loss: 4.847423, time: 12.894 sec/batch
INFO:tensorflow:Step: 1028, Loss: 5.055440, time: 13.760 sec/batch
INFO:tensorflow:Step: 1031, Loss: 4.698396, time: 14.296 sec/batch
INFO:tensorflow:Step: 1035, Loss: 5.473373, time: 14.253 sec/batch
INFO:tensorflow:Step: 1039, Loss: 5.419980, time: 14.911 sec/batch
INFO:tensorflow:Step: 1043, Loss: 4.910403, time: 13.553 sec/batch
INFO:tensorflow:Step: 1047, Loss: 4.723974, time: 13.063 sec/batch
INFO:tensorflow:Step: 1051, Loss: 5.025698, time: 12.828 sec/batch
INFO:tensorflow:Step: 1055, Loss: 5.990903, time: 13.234 sec/batch
INFO:tensorflow:Step: 1059, Loss: 5.209138, time: 14.241 sec/batch
INFO:tensorflow:Step: 1063, Loss: 5.048011, time: 13.367 sec/batch
INFO:tensorflow:Step: 1067, Loss: 5.179327, time: 13.497 sec/batch
INFO:tensorflow:Step: 1071, Loss: 5.655014, time: 13.757 sec/batch
INFO:tensorflow:Step: 1075, Loss: 5.384754, time: 13.365 sec/batch
INFO:tensorflow:Step: 1079, Loss: 5.000691, time: 13.769 sec/batch
INFO:tensorflow:Step: 1083, Loss: 5.064715, time: 13.237 sec/batch
INFO:tensorflow:Step: 1085, Loss: 4.971055, time: 13.497 sec/batch
INFO:tensorflow:Step: 1088, Loss: 5.441128, time: 14.368 sec/batch
INFO:tensorflow:Step: 1092, Loss: 5.042389, time: 13.818 sec/batch
INFO:tensorflow:Step: 1096, Loss: 4.977376, time: 14.083 sec/batch
INFO:tensorflow:Step: 1100, Loss: 4.815877, time: 13.466 sec/batch
INFO:tensorflow:Step: 1104, Loss: 4.869884, time: 12.087 sec/batch
INFO:tensorflow:Step: 1108, Loss: 4.889358, time: 12.468 sec/batch
INFO:tensorflow:Step: 1112, Loss: 5.345893, time: 12.856 sec/batch
