DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, localhost:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2211
INFO:tensorflow:Learning rate: 0.001000, momentum: 0.900000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 4
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 4
INFO:tensorflow:Tokens per step: 4
INFO:tensorflow:2016-07-26 12:52:49.591463 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 12:53:05.987228 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.186413, time: 23.622 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.416236, time: 17.484 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.057151, time: 14.027 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.394931, time: 11.350 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.049442, time: 12.259 sec/batch
INFO:tensorflow:Step: 415, Loss: 6.115965, time: 10.340 sec/batch
INFO:tensorflow:Step: 419, Loss: 5.846678, time: 14.006 sec/batch
INFO:tensorflow:Step: 423, Loss: 5.233243, time: 14.152 sec/batch
INFO:tensorflow:Step: 427, Loss: 5.541831, time: 11.520 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.395099, time: 9.622 sec/batch
INFO:tensorflow:Step: 434, Loss: 6.227914, time: 12.930 sec/batch
INFO:tensorflow:Step: 438, Loss: 5.325473, time: 12.445 sec/batch
INFO:tensorflow:Step: 441, Loss: 5.430006, time: 15.250 sec/batch
INFO:tensorflow:Step: 445, Loss: 5.926659, time: 14.136 sec/batch
INFO:tensorflow:Step: 449, Loss: 5.487906, time: 11.059 sec/batch
INFO:tensorflow:Step: 452, Loss: 5.360737, time: 11.070 sec/batch
INFO:tensorflow:Step: 456, Loss: 5.548807, time: 10.699 sec/batch
INFO:tensorflow:Step: 460, Loss: 5.429115, time: 11.585 sec/batch
INFO:tensorflow:Step: 463, Loss: 6.100783, time: 11.408 sec/batch
INFO:tensorflow:Step: 467, Loss: 5.476953, time: 10.241 sec/batch
INFO:tensorflow:Step: 470, Loss: 5.656272, time: 14.712 sec/batch
INFO:tensorflow:Step: 473, Loss: 5.370084, time: 13.927 sec/batch
INFO:tensorflow:Step: 477, Loss: 5.378566, time: 14.605 sec/batch
INFO:tensorflow:Step: 481, Loss: 5.804346, time: 14.717 sec/batch
INFO:tensorflow:Step: 485, Loss: 5.536160, time: 13.730 sec/batch
INFO:tensorflow:Step: 489, Loss: 5.468375, time: 14.283 sec/batch
INFO:tensorflow:Step: 493, Loss: 5.767577, time: 14.639 sec/batch
INFO:tensorflow:Step: 497, Loss: 6.595675, time: 14.179 sec/batch
INFO:tensorflow:Step: 501, Loss: 5.757981, time: 15.078 sec/batch
INFO:tensorflow:Step: 505, Loss: 5.616964, time: 15.070 sec/batch
INFO:tensorflow:Step: 510, Loss: 5.118086, time: 16.134 sec/batch
INFO:tensorflow:Step: 514, Loss: 5.935766, time: 13.792 sec/batch
INFO:tensorflow:Step: 518, Loss: 5.844754, time: 14.400 sec/batch
INFO:tensorflow:Step: 522, Loss: 5.200796, time: 14.019 sec/batch
INFO:tensorflow:Step: 526, Loss: 5.459764, time: 14.703 sec/batch
INFO:tensorflow:Step: 530, Loss: 5.501228, time: 13.580 sec/batch
INFO:tensorflow:Step: 534, Loss: 5.923990, time: 14.438 sec/batch
INFO:tensorflow:Step: 538, Loss: 5.410832, time: 15.207 sec/batch
INFO:tensorflow:Step: 542, Loss: 5.957712, time: 14.346 sec/batch
INFO:tensorflow:Step: 546, Loss: 5.298239, time: 15.283 sec/batch
INFO:tensorflow:Step: 550, Loss: 6.002679, time: 14.439 sec/batch
INFO:tensorflow:Step: 554, Loss: 5.618192, time: 14.217 sec/batch
INFO:tensorflow:Step: 558, Loss: 5.413525, time: 15.015 sec/batch
INFO:tensorflow:Step: 562, Loss: 5.662824, time: 15.615 sec/batch
INFO:tensorflow:Step: 566, Loss: 5.055191, time: 14.893 sec/batch
INFO:tensorflow:Step: 570, Loss: 6.024521, time: 15.302 sec/batch
INFO:tensorflow:Step: 574, Loss: 5.326709, time: 14.817 sec/batch
INFO:tensorflow:Step: 578, Loss: 5.820127, time: 14.037 sec/batch
INFO:tensorflow:Step: 581, Loss: 5.473418, time: 15.188 sec/batch
INFO:tensorflow:Step: 586, Loss: 5.200265, time: 16.017 sec/batch
INFO:tensorflow:Step: 590, Loss: 5.187952, time: 16.653 sec/batch
INFO:tensorflow:Step: 596, Loss: 5.270602, time: 15.264 sec/batch
INFO:tensorflow:Step: 599, Loss: 5.161335, time: 15.904 sec/batch
INFO:tensorflow:Step: 603, Loss: 5.279743, time: 15.443 sec/batch
INFO:tensorflow:Step: 607, Loss: 4.918636, time: 14.931 sec/batch
INFO:tensorflow:Step: 612, Loss: 5.569808, time: 14.277 sec/batch
