DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, localhost:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2206
INFO:tensorflow:Learning rate: 0.001000, momentum: 0.900000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 4
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 4
INFO:tensorflow:Tokens per step: 4
INFO:tensorflow:2016-07-26 12:52:49.312367 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 12:53:04.624876 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.897999, time: 23.625 sec/batch
INFO:tensorflow:Step: 400, Loss: 6.189456, time: 13.799 sec/batch
INFO:tensorflow:Step: 403, Loss: 7.503997, time: 12.157 sec/batch
INFO:tensorflow:Step: 407, Loss: 6.269793, time: 13.361 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.935559, time: 13.686 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.734771, time: 12.493 sec/batch
INFO:tensorflow:Step: 419, Loss: 5.673108, time: 14.561 sec/batch
INFO:tensorflow:Step: 423, Loss: 5.399266, time: 13.739 sec/batch
INFO:tensorflow:Step: 427, Loss: 6.656130, time: 12.331 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.123050, time: 9.470 sec/batch
INFO:tensorflow:Step: 434, Loss: 6.059902, time: 11.129 sec/batch
INFO:tensorflow:Step: 438, Loss: 5.959969, time: 13.592 sec/batch
INFO:tensorflow:Step: 442, Loss: 5.549438, time: 15.577 sec/batch
INFO:tensorflow:Step: 445, Loss: 5.359731, time: 11.398 sec/batch
INFO:tensorflow:Step: 448, Loss: 5.564361, time: 15.488 sec/batch
INFO:tensorflow:Step: 454, Loss: 6.029689, time: 12.805 sec/batch
INFO:tensorflow:Step: 458, Loss: 5.918143, time: 13.052 sec/batch
INFO:tensorflow:Step: 462, Loss: 5.664994, time: 15.123 sec/batch
INFO:tensorflow:Step: 466, Loss: 5.592518, time: 13.721 sec/batch
INFO:tensorflow:Step: 471, Loss: 5.894877, time: 16.088 sec/batch
INFO:tensorflow:Step: 475, Loss: 5.847534, time: 14.240 sec/batch
INFO:tensorflow:Step: 479, Loss: 6.141122, time: 14.173 sec/batch
INFO:tensorflow:Step: 483, Loss: 5.995123, time: 13.723 sec/batch
INFO:tensorflow:Step: 487, Loss: 6.115521, time: 14.697 sec/batch
INFO:tensorflow:Step: 490, Loss: 5.848548, time: 13.806 sec/batch
INFO:tensorflow:Step: 494, Loss: 5.477035, time: 14.205 sec/batch
INFO:tensorflow:Step: 498, Loss: 5.932802, time: 14.483 sec/batch
INFO:tensorflow:Step: 502, Loss: 6.890462, time: 13.990 sec/batch
INFO:tensorflow:Step: 506, Loss: 6.165319, time: 13.550 sec/batch
INFO:tensorflow:Step: 510, Loss: 4.965249, time: 14.765 sec/batch
INFO:tensorflow:Step: 513, Loss: 5.108844, time: 13.774 sec/batch
INFO:tensorflow:Step: 517, Loss: 5.346674, time: 14.265 sec/batch
INFO:tensorflow:Step: 521, Loss: 5.637410, time: 13.851 sec/batch
INFO:tensorflow:Step: 525, Loss: 5.315219, time: 13.703 sec/batch
INFO:tensorflow:Step: 529, Loss: 5.231853, time: 13.963 sec/batch
INFO:tensorflow:Step: 533, Loss: 5.619595, time: 14.212 sec/batch
INFO:tensorflow:Step: 537, Loss: 5.043845, time: 14.507 sec/batch
INFO:tensorflow:Step: 540, Loss: 6.139125, time: 13.512 sec/batch
INFO:tensorflow:Step: 544, Loss: 6.218418, time: 14.152 sec/batch
INFO:tensorflow:Step: 548, Loss: 5.270309, time: 14.445 sec/batch
INFO:tensorflow:Step: 552, Loss: 5.496475, time: 13.603 sec/batch
INFO:tensorflow:Step: 556, Loss: 5.555256, time: 13.916 sec/batch
INFO:tensorflow:Step: 560, Loss: 5.303599, time: 14.348 sec/batch
INFO:tensorflow:Step: 564, Loss: 5.439617, time: 13.219 sec/batch
INFO:tensorflow:Step: 568, Loss: 5.504486, time: 14.255 sec/batch
INFO:tensorflow:Step: 572, Loss: 5.183177, time: 13.058 sec/batch
INFO:tensorflow:Step: 576, Loss: 5.019780, time: 13.975 sec/batch
INFO:tensorflow:Step: 580, Loss: 5.672493, time: 14.026 sec/batch
INFO:tensorflow:Step: 583, Loss: 5.498652, time: 14.012 sec/batch
INFO:tensorflow:Step: 587, Loss: 5.241121, time: 15.918 sec/batch
INFO:tensorflow:Step: 590, Loss: 5.232801, time: 15.251 sec/batch
INFO:tensorflow:Step: 593, Loss: 6.023856, time: 12.961 sec/batch
INFO:tensorflow:Step: 597, Loss: 5.215819, time: 13.502 sec/batch
INFO:tensorflow:Step: 601, Loss: 5.851133, time: 14.268 sec/batch
INFO:tensorflow:Step: 605, Loss: 5.396041, time: 14.223 sec/batch
INFO:tensorflow:Step: 609, Loss: 5.031799, time: 13.516 sec/batch
INFO:tensorflow:Step: 613, Loss: 5.259104, time: 13.911 sec/batch
INFO:tensorflow:Step: 617, Loss: 5.210595, time: 13.745 sec/batch
INFO:tensorflow:Step: 621, Loss: 5.243117, time: 13.950 sec/batch
INFO:tensorflow:Step: 625, Loss: 5.591009, time: 13.645 sec/batch
INFO:tensorflow:Step: 629, Loss: 5.793914, time: 13.614 sec/batch
INFO:tensorflow:Step: 633, Loss: 4.797010, time: 14.633 sec/batch
INFO:tensorflow:Step: 637, Loss: 5.207822, time: 13.728 sec/batch
INFO:tensorflow:Step: 640, Loss: 5.500560, time: 14.767 sec/batch
INFO:tensorflow:Step: 645, Loss: 5.248594, time: 14.098 sec/batch
INFO:tensorflow:Step: 647, Loss: 5.172061, time: 14.033 sec/batch
INFO:tensorflow:Step: 651, Loss: 5.698275, time: 14.750 sec/batch
INFO:tensorflow:Step: 654, Loss: 5.329823, time: 13.803 sec/batch
INFO:tensorflow:Step: 658, Loss: 5.307376, time: 13.915 sec/batch
INFO:tensorflow:Step: 662, Loss: 5.150627, time: 13.207 sec/batch
INFO:tensorflow:Step: 666, Loss: 4.933796, time: 12.730 sec/batch
INFO:tensorflow:Step: 670, Loss: 5.964707, time: 14.517 sec/batch
INFO:tensorflow:Step: 674, Loss: 5.138089, time: 13.207 sec/batch
INFO:tensorflow:Step: 678, Loss: 5.610569, time: 13.643 sec/batch
INFO:tensorflow:Step: 682, Loss: 5.351146, time: 13.616 sec/batch
INFO:tensorflow:Step: 686, Loss: 5.481404, time: 13.577 sec/batch
INFO:tensorflow:Step: 690, Loss: 5.618268, time: 14.515 sec/batch
INFO:tensorflow:Step: 694, Loss: 5.499379, time: 14.912 sec/batch
INFO:tensorflow:Step: 697, Loss: 5.618568, time: 13.735 sec/batch
INFO:tensorflow:Step: 701, Loss: 5.255001, time: 14.137 sec/batch
INFO:tensorflow:Step: 705, Loss: 4.971230, time: 13.787 sec/batch
INFO:tensorflow:Step: 708, Loss: 5.113183, time: 15.475 sec/batch
INFO:tensorflow:Step: 711, Loss: 5.338692, time: 14.195 sec/batch
INFO:tensorflow:Step: 715, Loss: 5.293489, time: 12.643 sec/batch
INFO:tensorflow:Step: 719, Loss: 5.383436, time: 13.914 sec/batch
INFO:tensorflow:Step: 723, Loss: 4.954520, time: 13.534 sec/batch
INFO:tensorflow:Step: 727, Loss: 5.470934, time: 13.689 sec/batch
INFO:tensorflow:Step: 731, Loss: 5.377635, time: 12.855 sec/batch
INFO:tensorflow:Step: 735, Loss: 5.181346, time: 12.902 sec/batch
INFO:tensorflow:Step: 739, Loss: 5.738138, time: 13.827 sec/batch
INFO:tensorflow:Step: 742, Loss: 5.164793, time: 13.596 sec/batch
INFO:tensorflow:Step: 746, Loss: 5.411592, time: 15.246 sec/batch
INFO:tensorflow:Step: 748, Loss: 4.895310, time: 12.256 sec/batch
INFO:tensorflow:Step: 752, Loss: 5.264080, time: 13.747 sec/batch
INFO:tensorflow:Step: 756, Loss: 5.136817, time: 13.059 sec/batch
INFO:tensorflow:Step: 760, Loss: 5.068011, time: 13.379 sec/batch
INFO:tensorflow:Step: 764, Loss: 4.986424, time: 13.589 sec/batch
INFO:tensorflow:Step: 768, Loss: 5.695068, time: 13.415 sec/batch
INFO:tensorflow:Step: 772, Loss: 4.994219, time: 13.595 sec/batch
INFO:tensorflow:Step: 776, Loss: 5.593827, time: 12.804 sec/batch
INFO:tensorflow:Step: 779, Loss: 5.230453, time: 16.607 sec/batch
INFO:tensorflow:Step: 784, Loss: 5.429304, time: 14.791 sec/batch
INFO:tensorflow:Step: 787, Loss: 5.501832, time: 15.495 sec/batch
INFO:tensorflow:Step: 790, Loss: 5.465774, time: 15.389 sec/batch
INFO:tensorflow:Step: 795, Loss: 5.156440, time: 17.028 sec/batch
INFO:tensorflow:Step: 800, Loss: 6.202736, time: 13.666 sec/batch
INFO:tensorflow:Step: 801, Loss: 5.461482, time: 14.102 sec/batch
INFO:tensorflow:Step: 805, Loss: 5.172579, time: 14.912 sec/batch
INFO:tensorflow:Step: 809, Loss: 4.981009, time: 11.162 sec/batch
INFO:tensorflow:Step: 813, Loss: 5.468143, time: 13.182 sec/batch
INFO:tensorflow:Step: 817, Loss: 5.429829, time: 12.648 sec/batch
INFO:tensorflow:Step: 821, Loss: 5.096469, time: 13.021 sec/batch
INFO:tensorflow:Step: 825, Loss: 5.274640, time: 12.828 sec/batch
INFO:tensorflow:Step: 827, Loss: 5.554282, time: 13.659 sec/batch
INFO:tensorflow:Step: 830, Loss: 5.381783, time: 13.540 sec/batch
INFO:tensorflow:Step: 834, Loss: 4.785404, time: 13.075 sec/batch
INFO:tensorflow:Step: 838, Loss: 5.192232, time: 13.814 sec/batch
INFO:tensorflow:Step: 842, Loss: 5.816065, time: 13.251 sec/batch
INFO:tensorflow:Step: 846, Loss: 6.189123, time: 13.095 sec/batch
INFO:tensorflow:Step: 850, Loss: 5.400358, time: 13.455 sec/batch
INFO:tensorflow:Step: 854, Loss: 5.527482, time: 13.915 sec/batch
INFO:tensorflow:Step: 858, Loss: 4.940319, time: 13.155 sec/batch
INFO:tensorflow:Step: 861, Loss: 4.729063, time: 12.993 sec/batch
INFO:tensorflow:Step: 864, Loss: 5.546016, time: 13.899 sec/batch
INFO:tensorflow:Step: 869, Loss: 5.624572, time: 15.852 sec/batch
INFO:tensorflow:Step: 872, Loss: 4.849043, time: 15.644 sec/batch
INFO:tensorflow:Step: 875, Loss: 5.578585, time: 12.166 sec/batch
INFO:tensorflow:Step: 879, Loss: 5.282407, time: 12.851 sec/batch
INFO:tensorflow:Step: 883, Loss: 5.262493, time: 13.725 sec/batch
INFO:tensorflow:Step: 887, Loss: 4.802446, time: 12.936 sec/batch
INFO:tensorflow:Step: 891, Loss: 5.260312, time: 12.386 sec/batch
INFO:tensorflow:Step: 895, Loss: 5.056949, time: 12.861 sec/batch
INFO:tensorflow:Step: 899, Loss: 5.537062, time: 14.437 sec/batch
INFO:tensorflow:Step: 901, Loss: 5.394210, time: 14.365 sec/batch
INFO:tensorflow:Step: 905, Loss: 5.666739, time: 13.162 sec/batch
INFO:tensorflow:Step: 908, Loss: 5.238518, time: 13.206 sec/batch
INFO:tensorflow:Step: 912, Loss: 5.385163, time: 13.373 sec/batch
INFO:tensorflow:Step: 916, Loss: 4.735566, time: 13.245 sec/batch
INFO:tensorflow:Step: 920, Loss: 5.417518, time: 13.296 sec/batch
INFO:tensorflow:Step: 924, Loss: 5.329434, time: 13.173 sec/batch
INFO:tensorflow:Step: 928, Loss: 5.407486, time: 13.183 sec/batch
INFO:tensorflow:Step: 932, Loss: 5.409981, time: 12.956 sec/batch
INFO:tensorflow:Step: 936, Loss: 5.294636, time: 13.037 sec/batch
INFO:tensorflow:Step: 939, Loss: 5.509920, time: 13.430 sec/batch
INFO:tensorflow:Step: 943, Loss: 5.308927, time: 13.559 sec/batch
INFO:tensorflow:Step: 947, Loss: 5.188654, time: 13.699 sec/batch
INFO:tensorflow:Step: 949, Loss: 5.138781, time: 12.915 sec/batch
INFO:tensorflow:Step: 953, Loss: 5.631440, time: 13.333 sec/batch
INFO:tensorflow:Step: 957, Loss: 5.162367, time: 13.954 sec/batch
INFO:tensorflow:Step: 961, Loss: 5.201516, time: 13.181 sec/batch
INFO:tensorflow:Step: 965, Loss: 6.088097, time: 13.781 sec/batch
INFO:tensorflow:Step: 969, Loss: 5.369513, time: 13.946 sec/batch
INFO:tensorflow:Step: 973, Loss: 5.914650, time: 13.198 sec/batch
INFO:tensorflow:Step: 977, Loss: 5.726689, time: 11.956 sec/batch
INFO:tensorflow:Step: 980, Loss: 5.594828, time: 13.100 sec/batch
INFO:tensorflow:Step: 984, Loss: 5.383368, time: 12.843 sec/batch
INFO:tensorflow:Step: 987, Loss: 5.198836, time: 13.244 sec/batch
INFO:tensorflow:Step: 991, Loss: 5.330417, time: 13.195 sec/batch
INFO:tensorflow:Step: 994, Loss: 4.954925, time: 14.077 sec/batch
INFO:tensorflow:Step: 998, Loss: 5.158244, time: 12.765 sec/batch
INFO:tensorflow:Step: 1002, Loss: 5.114836, time: 13.752 sec/batch
INFO:tensorflow:Step: 1006, Loss: 4.845743, time: 14.115 sec/batch
INFO:tensorflow:Step: 1010, Loss: 5.285859, time: 12.630 sec/batch
INFO:tensorflow:Step: 1014, Loss: 4.957031, time: 13.037 sec/batch
INFO:tensorflow:Step: 1018, Loss: 5.550558, time: 13.359 sec/batch
INFO:tensorflow:Step: 1022, Loss: 5.362462, time: 12.865 sec/batch
INFO:tensorflow:Step: 1025, Loss: 5.491681, time: 12.900 sec/batch
INFO:tensorflow:Step: 1028, Loss: 5.254210, time: 13.743 sec/batch
INFO:tensorflow:Step: 1031, Loss: 5.143646, time: 14.313 sec/batch
INFO:tensorflow:Step: 1035, Loss: 5.019368, time: 14.238 sec/batch
INFO:tensorflow:Step: 1039, Loss: 5.076131, time: 14.922 sec/batch
INFO:tensorflow:Step: 1043, Loss: 5.048274, time: 13.540 sec/batch
INFO:tensorflow:Step: 1047, Loss: 4.950299, time: 13.073 sec/batch
INFO:tensorflow:Step: 1051, Loss: 5.327776, time: 12.841 sec/batch
INFO:tensorflow:Step: 1055, Loss: 5.029105, time: 13.222 sec/batch
INFO:tensorflow:Step: 1059, Loss: 5.479537, time: 14.218 sec/batch
INFO:tensorflow:Step: 1063, Loss: 5.468884, time: 13.410 sec/batch
INFO:tensorflow:Step: 1067, Loss: 5.358959, time: 13.499 sec/batch
INFO:tensorflow:Step: 1071, Loss: 5.483732, time: 13.767 sec/batch
INFO:tensorflow:Step: 1075, Loss: 5.453615, time: 13.347 sec/batch
INFO:tensorflow:Step: 1079, Loss: 4.863286, time: 13.774 sec/batch
INFO:tensorflow:Step: 1082, Loss: 5.735268, time: 13.234 sec/batch
INFO:tensorflow:Step: 1085, Loss: 5.019196, time: 13.499 sec/batch
INFO:tensorflow:Step: 1088, Loss: 5.694595, time: 14.256 sec/batch
INFO:tensorflow:Step: 1092, Loss: 5.250961, time: 13.931 sec/batch
INFO:tensorflow:Step: 1096, Loss: 5.445455, time: 14.077 sec/batch
INFO:tensorflow:Step: 1100, Loss: 5.562475, time: 13.474 sec/batch
INFO:tensorflow:Step: 1104, Loss: 5.430681, time: 12.083 sec/batch
INFO:tensorflow:Step: 1108, Loss: 5.416850, time: 12.471 sec/batch
INFO:tensorflow:Step: 1112, Loss: 4.979672, time: 12.857 sec/batch
run-expr-32node.sh: line 23: 86517 Terminated              CUDA_VISIBLE_DEVICES='' bazel-bin/inception/imagenet_distributed_train --batch_size=16 --data_dir=/lfs/local/0/daniter/16node-data-$2 --job_name='worker' --task_id=$2 --ps_hosts='raiders1:2200' --worker_hosts='raiders1:2201,raiders1:2202,raiders1:2203,raiders1:2204,raiders2:2205,raiders2:2206,raiders2:2207,raiders2:2208,raiders3:2209,raiders3:2210,raiders3:2211,raiders3:2212,raiders8:2213,raiders8:2214,raiders8:2215,raiders8:2216' --initial_learning_rate=$3 --momentum=$4 --sync=True --compute_groups=$5
