I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders1
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders1
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {localhost:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2201
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 4
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 4
INFO:tensorflow:Tokens per step: 4
INFO:tensorflow:2016-07-26 03:42:53.741054 Supervisor
INFO:tensorflow:Restored model from /lfs/local/0/daniter/cg-snapshot/model.ckpt-399
INFO:tensorflow:got sessions! 2016-07-26 03:43:49.645705 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:global_step/sec: 0
INFO:tensorflow:Step: 399, Loss: 5.179372, time: 19.433 sec/batch
INFO:tensorflow:Step: 403, Loss: 6.158855, time: 18.031 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.238544, time: 18.672 sec/batch
INFO:tensorflow:Step: 411, Loss: 4.668192, time: 16.414 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.154752, time: 15.934 sec/batch
INFO:tensorflow:Step: 418, Loss: 4.946716, time: 10.676 sec/batch
INFO:tensorflow:global_step/sec: 0.193746
INFO:tensorflow:Step: 421, Loss: 5.219665, time: 15.860 sec/batch
INFO:tensorflow:Step: 425, Loss: 5.382495, time: 15.469 sec/batch
INFO:tensorflow:Step: 429, Loss: 5.114805, time: 15.084 sec/batch
INFO:tensorflow:Step: 432, Loss: 4.829885, time: 10.454 sec/batch
INFO:tensorflow:Step: 436, Loss: 5.397154, time: 13.278 sec/batch
INFO:tensorflow:Step: 439, Loss: 5.402548, time: 10.837 sec/batch
INFO:tensorflow:Step: 443, Loss: 5.387279, time: 13.219 sec/batch
INFO:tensorflow:Step: 447, Loss: 5.666100, time: 15.284 sec/batch
INFO:tensorflow:Step: 452, Loss: 6.301178, time: 14.708 sec/batch
INFO:tensorflow:global_step/sec: 0.283482
INFO:tensorflow:Step: 456, Loss: 4.859157, time: 17.397 sec/batch
INFO:tensorflow:Step: 461, Loss: 5.454422, time: 12.615 sec/batch
INFO:tensorflow:Step: 464, Loss: 4.953447, time: 13.715 sec/batch
INFO:tensorflow:Step: 467, Loss: 5.234015, time: 9.831 sec/batch
INFO:tensorflow:Step: 470, Loss: 5.259313, time: 10.307 sec/batch
INFO:tensorflow:Step: 472, Loss: 5.307719, time: 7.474 sec/batch
INFO:tensorflow:Step: 474, Loss: 5.064209, time: 9.591 sec/batch
INFO:tensorflow:Step: 476, Loss: 5.254905, time: 9.093 sec/batch
INFO:tensorflow:Step: 479, Loss: 5.471443, time: 9.495 sec/batch
INFO:tensorflow:Step: 481, Loss: 5.450320, time: 10.012 sec/batch
INFO:tensorflow:Step: 484, Loss: 5.535655, time: 7.435 sec/batch
INFO:tensorflow:global_step/sec: 0.258344
INFO:tensorflow:Step: 486, Loss: 5.216784, time: 11.916 sec/batch
INFO:tensorflow:Step: 489, Loss: 5.190886, time: 8.922 sec/batch
INFO:tensorflow:Step: 491, Loss: 6.231267, time: 9.353 sec/batch
INFO:tensorflow:Step: 493, Loss: 5.567848, time: 9.638 sec/batch
INFO:tensorflow:Step: 495, Loss: 5.254809, time: 9.981 sec/batch
INFO:tensorflow:Step: 498, Loss: 5.076504, time: 9.796 sec/batch
INFO:tensorflow:Step: 500, Loss: 4.987559, time: 9.727 sec/batch
INFO:tensorflow:Step: 503, Loss: 5.274281, time: 10.235 sec/batch
INFO:tensorflow:Step: 505, Loss: 5.139693, time: 11.005 sec/batch
INFO:tensorflow:Step: 508, Loss: 5.202459, time: 8.766 sec/batch
INFO:tensorflow:Step: 510, Loss: 5.324560, time: 9.972 sec/batch
INFO:tensorflow:Step: 512, Loss: 5.078535, time: 8.703 sec/batch
