DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, localhost:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2210
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 1
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 16
INFO:tensorflow:Tokens per step: 16
INFO:tensorflow:2016-07-26 18:46:11.130411 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 18:46:27.280835 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.856006, time: 35.422 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.562037, time: 15.982 sec/batch
INFO:tensorflow:Step: 400, Loss: 4.837652, time: 9.932 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.217844, time: 13.288 sec/batch
INFO:tensorflow:Step: 402, Loss: 5.092831, time: 15.943 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.671823, time: 15.349 sec/batch
INFO:tensorflow:Step: 404, Loss: 5.039998, time: 17.717 sec/batch
INFO:tensorflow:Step: 405, Loss: 5.322869, time: 16.393 sec/batch
INFO:tensorflow:Step: 406, Loss: 5.700132, time: 16.418 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.566602, time: 15.964 sec/batch
INFO:tensorflow:Step: 408, Loss: 5.645013, time: 13.816 sec/batch
INFO:tensorflow:Step: 409, Loss: 5.116481, time: 19.334 sec/batch
INFO:tensorflow:Step: 410, Loss: 5.506539, time: 16.335 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.126148, time: 17.150 sec/batch
INFO:tensorflow:Step: 412, Loss: 6.100918, time: 17.740 sec/batch
INFO:tensorflow:Step: 413, Loss: 5.301095, time: 16.673 sec/batch
INFO:tensorflow:Step: 414, Loss: 5.521386, time: 19.555 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.241150, time: 17.033 sec/batch
INFO:tensorflow:Step: 416, Loss: 5.407038, time: 21.114 sec/batch
INFO:tensorflow:Step: 417, Loss: 4.837633, time: 20.194 sec/batch
INFO:tensorflow:Step: 418, Loss: 5.476581, time: 20.125 sec/batch
INFO:tensorflow:Step: 419, Loss: 4.974465, time: 19.223 sec/batch
INFO:tensorflow:Step: 420, Loss: 5.444542, time: 18.133 sec/batch
INFO:tensorflow:Step: 421, Loss: 5.270346, time: 21.028 sec/batch
INFO:tensorflow:Step: 422, Loss: 5.345937, time: 16.743 sec/batch
INFO:tensorflow:Step: 423, Loss: 5.814116, time: 21.084 sec/batch
INFO:tensorflow:Step: 424, Loss: 5.511539, time: 21.994 sec/batch
INFO:tensorflow:Step: 425, Loss: 5.672389, time: 21.007 sec/batch
INFO:tensorflow:Step: 426, Loss: 5.487324, time: 20.878 sec/batch
INFO:tensorflow:Step: 427, Loss: 5.435844, time: 19.014 sec/batch
INFO:tensorflow:Step: 428, Loss: 5.482907, time: 19.158 sec/batch
INFO:tensorflow:Step: 429, Loss: 5.180508, time: 18.913 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.490549, time: 20.605 sec/batch
INFO:tensorflow:Step: 431, Loss: 5.751788, time: 20.839 sec/batch
INFO:tensorflow:Step: 432, Loss: 5.519883, time: 16.897 sec/batch
INFO:tensorflow:Step: 433, Loss: 5.739505, time: 17.573 sec/batch
INFO:tensorflow:Step: 434, Loss: 5.124519, time: 20.388 sec/batch
INFO:tensorflow:Step: 435, Loss: 5.753055, time: 18.996 sec/batch
INFO:tensorflow:Step: 436, Loss: 5.100088, time: 20.682 sec/batch
INFO:tensorflow:Step: 437, Loss: 5.182108, time: 21.394 sec/batch
INFO:tensorflow:Step: 438, Loss: 5.093231, time: 20.936 sec/batch
INFO:tensorflow:Step: 439, Loss: 5.756955, time: 20.533 sec/batch
INFO:tensorflow:Step: 440, Loss: 5.158752, time: 20.663 sec/batch
INFO:tensorflow:Step: 441, Loss: 5.252135, time: 21.486 sec/batch
INFO:tensorflow:Step: 442, Loss: 5.229596, time: 19.984 sec/batch
INFO:tensorflow:Step: 443, Loss: 4.875436, time: 20.722 sec/batch
INFO:tensorflow:Step: 444, Loss: 5.247795, time: 20.460 sec/batch
INFO:tensorflow:Step: 445, Loss: 5.210967, time: 21.246 sec/batch
INFO:tensorflow:Step: 446, Loss: 5.608902, time: 20.606 sec/batch
INFO:tensorflow:Step: 447, Loss: 5.640873, time: 19.786 sec/batch
INFO:tensorflow:Step: 448, Loss: 5.051456, time: 19.006 sec/batch
INFO:tensorflow:Step: 449, Loss: 5.585129, time: 18.293 sec/batch
INFO:tensorflow:Step: 450, Loss: 5.303761, time: 20.609 sec/batch
INFO:tensorflow:Step: 451, Loss: 5.559236, time: 21.180 sec/batch
INFO:tensorflow:Step: 452, Loss: 4.902705, time: 20.015 sec/batch
INFO:tensorflow:Step: 453, Loss: 5.207747, time: 20.824 sec/batch
INFO:tensorflow:Step: 454, Loss: 5.393442, time: 21.254 sec/batch
INFO:tensorflow:Step: 455, Loss: 5.328762, time: 21.421 sec/batch
INFO:tensorflow:Step: 456, Loss: 5.400398, time: 21.448 sec/batch
INFO:tensorflow:Step: 457, Loss: 5.238016, time: 18.547 sec/batch
INFO:tensorflow:Step: 458, Loss: 5.560630, time: 20.844 sec/batch
INFO:tensorflow:Step: 459, Loss: 5.494644, time: 21.719 sec/batch
INFO:tensorflow:Step: 460, Loss: 5.440014, time: 21.949 sec/batch
INFO:tensorflow:Step: 461, Loss: 5.326056, time: 16.805 sec/batch
INFO:tensorflow:Step: 462, Loss: 5.920959, time: 22.315 sec/batch
INFO:tensorflow:Step: 463, Loss: 5.527587, time: 15.965 sec/batch
INFO:tensorflow:Step: 464, Loss: 5.036703, time: 21.546 sec/batch
INFO:tensorflow:Step: 465, Loss: 5.212095, time: 21.361 sec/batch
INFO:tensorflow:Step: 466, Loss: 5.053430, time: 21.031 sec/batch
INFO:tensorflow:Step: 467, Loss: 4.917578, time: 21.517 sec/batch
INFO:tensorflow:Step: 468, Loss: 5.103162, time: 21.391 sec/batch
INFO:tensorflow:Step: 469, Loss: 5.030074, time: 21.734 sec/batch
INFO:tensorflow:Step: 470, Loss: 5.433899, time: 19.829 sec/batch
INFO:tensorflow:Step: 471, Loss: 5.307689, time: 20.400 sec/batch
INFO:tensorflow:Step: 472, Loss: 5.294871, time: 21.088 sec/batch
INFO:tensorflow:Step: 473, Loss: 5.149473, time: 19.387 sec/batch
INFO:tensorflow:Step: 474, Loss: 5.488033, time: 17.928 sec/batch
INFO:tensorflow:Step: 475, Loss: 5.060877, time: 21.159 sec/batch
INFO:tensorflow:Step: 476, Loss: 5.361503, time: 21.565 sec/batch
INFO:tensorflow:Step: 477, Loss: 5.066600, time: 20.702 sec/batch
INFO:tensorflow:Step: 478, Loss: 5.234545, time: 20.835 sec/batch
INFO:tensorflow:Step: 479, Loss: 4.993450, time: 18.731 sec/batch
INFO:tensorflow:Step: 480, Loss: 5.246943, time: 17.362 sec/batch
INFO:tensorflow:Step: 481, Loss: 5.241868, time: 20.851 sec/batch
INFO:tensorflow:Step: 482, Loss: 5.456308, time: 20.908 sec/batch
INFO:tensorflow:Step: 483, Loss: 5.341016, time: 20.806 sec/batch
INFO:tensorflow:Step: 484, Loss: 6.216962, time: 21.579 sec/batch
INFO:tensorflow:Step: 485, Loss: 5.494577, time: 17.758 sec/batch
INFO:tensorflow:Step: 486, Loss: 4.940437, time: 21.555 sec/batch
INFO:tensorflow:Step: 487, Loss: 5.553315, time: 19.256 sec/batch
INFO:tensorflow:Step: 488, Loss: 4.841762, time: 19.999 sec/batch
INFO:tensorflow:Step: 489, Loss: 5.740935, time: 20.826 sec/batch
INFO:tensorflow:Step: 490, Loss: 5.432779, time: 19.181 sec/batch
INFO:tensorflow:Step: 491, Loss: 5.477632, time: 20.178 sec/batch
INFO:tensorflow:Step: 492, Loss: 5.235778, time: 19.963 sec/batch
INFO:tensorflow:Step: 493, Loss: 5.446908, time: 18.842 sec/batch
INFO:tensorflow:Step: 494, Loss: 5.584997, time: 19.210 sec/batch
INFO:tensorflow:Step: 495, Loss: 5.249673, time: 20.701 sec/batch
INFO:tensorflow:Step: 496, Loss: 5.220316, time: 18.956 sec/batch
INFO:tensorflow:Step: 497, Loss: 5.104154, time: 18.731 sec/batch
INFO:tensorflow:Step: 498, Loss: 4.874945, time: 16.828 sec/batch
INFO:tensorflow:Step: 499, Loss: 5.741152, time: 19.453 sec/batch
INFO:tensorflow:Step: 500, Loss: 5.079310, time: 19.564 sec/batch
INFO:tensorflow:Step: 501, Loss: 5.500484, time: 19.747 sec/batch
INFO:tensorflow:Step: 502, Loss: 5.464910, time: 18.024 sec/batch
INFO:tensorflow:Step: 503, Loss: 5.211724, time: 20.317 sec/batch
INFO:tensorflow:Step: 504, Loss: 5.198920, time: 19.049 sec/batch
INFO:tensorflow:Step: 505, Loss: 5.164713, time: 17.113 sec/batch
INFO:tensorflow:Step: 506, Loss: 5.673210, time: 18.609 sec/batch
INFO:tensorflow:Step: 507, Loss: 5.282220, time: 19.977 sec/batch
INFO:tensorflow:Step: 508, Loss: 5.001853, time: 16.504 sec/batch
INFO:tensorflow:Step: 509, Loss: 4.953044, time: 18.276 sec/batch
INFO:tensorflow:Step: 510, Loss: 5.419603, time: 18.354 sec/batch
INFO:tensorflow:Step: 511, Loss: 5.378343, time: 20.305 sec/batch
INFO:tensorflow:Step: 512, Loss: 5.511819, time: 18.547 sec/batch
INFO:tensorflow:Step: 513, Loss: 4.996807, time: 19.289 sec/batch
INFO:tensorflow:Step: 514, Loss: 5.067093, time: 18.333 sec/batch
INFO:tensorflow:Step: 515, Loss: 5.059106, time: 18.175 sec/batch
INFO:tensorflow:Step: 516, Loss: 5.453451, time: 18.790 sec/batch
INFO:tensorflow:Step: 517, Loss: 5.040135, time: 19.305 sec/batch
INFO:tensorflow:Step: 518, Loss: 5.302185, time: 19.112 sec/batch
INFO:tensorflow:Step: 519, Loss: 5.039915, time: 18.922 sec/batch
INFO:tensorflow:Step: 520, Loss: 4.922216, time: 20.009 sec/batch
INFO:tensorflow:Step: 521, Loss: 5.302237, time: 17.458 sec/batch
INFO:tensorflow:Step: 522, Loss: 6.062687, time: 18.447 sec/batch
INFO:tensorflow:Step: 523, Loss: 5.554572, time: 16.933 sec/batch
INFO:tensorflow:Step: 524, Loss: 5.094765, time: 18.922 sec/batch
INFO:tensorflow:Step: 525, Loss: 5.272185, time: 18.836 sec/batch
INFO:tensorflow:Step: 526, Loss: 5.235708, time: 17.810 sec/batch
INFO:tensorflow:Step: 527, Loss: 4.618681, time: 19.024 sec/batch
INFO:tensorflow:Step: 528, Loss: 5.602805, time: 17.734 sec/batch
INFO:tensorflow:Step: 529, Loss: 5.440956, time: 17.939 sec/batch
INFO:tensorflow:Step: 530, Loss: 5.179324, time: 18.717 sec/batch
INFO:tensorflow:Step: 531, Loss: 5.582687, time: 17.737 sec/batch
INFO:tensorflow:Step: 532, Loss: 4.682671, time: 16.395 sec/batch
run-expr-32node.sh: line 23:  6416 Terminated              CUDA_VISIBLE_DEVICES='' bazel-bin/inception/imagenet_distributed_train --batch_size=16 --data_dir=/lfs/local/0/daniter/16node-data-$2 --job_name='worker' --task_id=$2 --ps_hosts='raiders1:2200' --worker_hosts='raiders1:2201,raiders1:2202,raiders1:2203,raiders1:2204,raiders2:2205,raiders2:2206,raiders2:2207,raiders2:2208,raiders3:2209,raiders3:2210,raiders3:2211,raiders3:2212,raiders8:2213,raiders8:2214,raiders8:2215,raiders8:2216' --initial_learning_rate=$3 --momentum=$4 --sync=True --compute_groups=$5
