DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, localhost:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2208
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 1
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 16
INFO:tensorflow:Tokens per step: 16
INFO:tensorflow:2016-07-26 18:46:18.025542 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 18:46:33.660893 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 6.461783, time: 35.420 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.691539, time: 24.617 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.911083, time: 11.641 sec/batch
INFO:tensorflow:Step: 402, Loss: 5.418713, time: 16.826 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.342318, time: 12.716 sec/batch
INFO:tensorflow:Step: 404, Loss: 5.601106, time: 17.106 sec/batch
INFO:tensorflow:Step: 405, Loss: 5.413122, time: 17.026 sec/batch
INFO:tensorflow:Step: 406, Loss: 5.819337, time: 15.598 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.204144, time: 21.469 sec/batch
INFO:tensorflow:Step: 408, Loss: 5.458166, time: 13.830 sec/batch
INFO:tensorflow:Step: 409, Loss: 5.136243, time: 19.995 sec/batch
INFO:tensorflow:Step: 410, Loss: 5.336513, time: 16.888 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.645618, time: 16.127 sec/batch
INFO:tensorflow:Step: 412, Loss: 4.987865, time: 17.532 sec/batch
INFO:tensorflow:Step: 413, Loss: 5.217174, time: 16.675 sec/batch
INFO:tensorflow:Step: 414, Loss: 5.266729, time: 19.565 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.671226, time: 17.026 sec/batch
INFO:tensorflow:Step: 416, Loss: 5.558014, time: 21.111 sec/batch
INFO:tensorflow:Step: 417, Loss: 5.387508, time: 20.196 sec/batch
INFO:tensorflow:Step: 418, Loss: 5.055228, time: 20.149 sec/batch
INFO:tensorflow:Step: 419, Loss: 5.369225, time: 19.203 sec/batch
INFO:tensorflow:Step: 420, Loss: 5.134966, time: 18.125 sec/batch
INFO:tensorflow:Step: 421, Loss: 5.753374, time: 21.032 sec/batch
INFO:tensorflow:Step: 422, Loss: 5.030408, time: 16.663 sec/batch
INFO:tensorflow:Step: 423, Loss: 5.018110, time: 21.213 sec/batch
INFO:tensorflow:Step: 424, Loss: 5.162496, time: 21.909 sec/batch
INFO:tensorflow:Step: 425, Loss: 5.571684, time: 21.047 sec/batch
INFO:tensorflow:Step: 426, Loss: 4.909390, time: 20.870 sec/batch
INFO:tensorflow:Step: 427, Loss: 5.503760, time: 19.003 sec/batch
INFO:tensorflow:Step: 428, Loss: 5.225230, time: 19.166 sec/batch
INFO:tensorflow:Step: 429, Loss: 5.555776, time: 18.917 sec/batch
INFO:tensorflow:Step: 430, Loss: 6.040199, time: 20.603 sec/batch
INFO:tensorflow:Step: 431, Loss: 4.975806, time: 20.819 sec/batch
INFO:tensorflow:Step: 432, Loss: 5.407056, time: 16.920 sec/batch
INFO:tensorflow:Step: 433, Loss: 5.280532, time: 17.583 sec/batch
INFO:tensorflow:Step: 434, Loss: 5.250642, time: 20.392 sec/batch
INFO:tensorflow:Step: 435, Loss: 5.314591, time: 18.983 sec/batch
INFO:tensorflow:Step: 436, Loss: 5.425611, time: 20.687 sec/batch
INFO:tensorflow:Step: 437, Loss: 5.076433, time: 21.362 sec/batch
