DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, localhost:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2210
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:2016-07-26 22:45:30.933281 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 22:45:42.421559 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.809696, time: 18.049 sec/batch
INFO:tensorflow:Step: 404, Loss: 5.690293, time: 13.014 sec/batch
INFO:tensorflow:Step: 412, Loss: 4.839170, time: 14.954 sec/batch
INFO:tensorflow:Step: 424, Loss: 5.063333, time: 13.132 sec/batch
INFO:tensorflow:Step: 440, Loss: 5.161191, time: 15.524 sec/batch
INFO:tensorflow:Step: 459, Loss: 5.641290, time: 15.227 sec/batch
INFO:tensorflow:Step: 477, Loss: 5.230469, time: 15.393 sec/batch
INFO:tensorflow:Step: 496, Loss: 5.365990, time: 13.102 sec/batch
INFO:tensorflow:Step: 511, Loss: 5.415015, time: 11.087 sec/batch
INFO:tensorflow:Step: 523, Loss: 5.632104, time: 16.514 sec/batch
INFO:tensorflow:Step: 544, Loss: 5.462368, time: 13.112 sec/batch
INFO:tensorflow:Step: 560, Loss: 5.242137, time: 15.064 sec/batch
INFO:tensorflow:Step: 577, Loss: 5.524138, time: 13.921 sec/batch
INFO:tensorflow:Step: 595, Loss: 5.099865, time: 11.845 sec/batch
INFO:tensorflow:Step: 611, Loss: 6.153249, time: 14.149 sec/batch
INFO:tensorflow:Step: 629, Loss: 5.335890, time: 10.735 sec/batch
INFO:tensorflow:Step: 642, Loss: 5.415324, time: 11.162 sec/batch
INFO:tensorflow:Step: 656, Loss: 5.273635, time: 13.283 sec/batch
INFO:tensorflow:Step: 673, Loss: 5.514596, time: 12.901 sec/batch
INFO:tensorflow:Step: 689, Loss: 5.121133, time: 15.674 sec/batch
INFO:tensorflow:Step: 704, Loss: 5.400384, time: 13.981 sec/batch
INFO:tensorflow:Step: 720, Loss: 5.016425, time: 11.037 sec/batch
INFO:tensorflow:Step: 737, Loss: 5.403200, time: 14.421 sec/batch
INFO:tensorflow:Step: 754, Loss: 5.572127, time: 14.781 sec/batch
INFO:tensorflow:Step: 773, Loss: 5.291828, time: 12.804 sec/batch
INFO:tensorflow:Step: 789, Loss: 5.638837, time: 10.959 sec/batch
INFO:tensorflow:Step: 802, Loss: 6.052692, time: 12.751 sec/batch
INFO:tensorflow:Step: 818, Loss: 5.436375, time: 15.512 sec/batch
INFO:tensorflow:Step: 839, Loss: 5.454164, time: 11.199 sec/batch
INFO:tensorflow:Step: 854, Loss: 5.525891, time: 13.604 sec/batch
INFO:tensorflow:Step: 872, Loss: 5.603263, time: 13.057 sec/batch
INFO:tensorflow:Step: 889, Loss: 5.208247, time: 16.063 sec/batch
INFO:tensorflow:Step: 907, Loss: 5.357306, time: 17.034 sec/batch
INFO:tensorflow:Step: 929, Loss: 5.640894, time: 10.648 sec/batch
INFO:tensorflow:Step: 944, Loss: 5.359274, time: 12.702 sec/batch
INFO:tensorflow:Step: 960, Loss: 5.636455, time: 14.034 sec/batch
