DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, localhost:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2211
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:2016-07-26 22:45:30.535122 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 22:45:42.671306 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.151171, time: 17.173 sec/batch
INFO:tensorflow:Step: 402, Loss: 5.381878, time: 10.912 sec/batch
INFO:tensorflow:Step: 408, Loss: 5.166410, time: 11.529 sec/batch
INFO:tensorflow:Step: 418, Loss: 5.328613, time: 14.721 sec/batch
INFO:tensorflow:Step: 436, Loss: 4.935307, time: 15.723 sec/batch
INFO:tensorflow:Step: 453, Loss: 6.402472, time: 13.504 sec/batch
INFO:tensorflow:Step: 469, Loss: 5.358396, time: 13.316 sec/batch
INFO:tensorflow:Step: 484, Loss: 5.125423, time: 11.783 sec/batch
INFO:tensorflow:Step: 500, Loss: 5.687046, time: 17.185 sec/batch
INFO:tensorflow:Step: 520, Loss: 5.538273, time: 15.459 sec/batch
INFO:tensorflow:Step: 540, Loss: 5.590894, time: 17.602 sec/batch
INFO:tensorflow:Step: 560, Loss: 5.192024, time: 16.905 sec/batch
INFO:tensorflow:Step: 579, Loss: 5.343077, time: 16.997 sec/batch
INFO:tensorflow:Step: 600, Loss: 5.515488, time: 10.803 sec/batch
INFO:tensorflow:Step: 616, Loss: 5.251263, time: 13.294 sec/batch
INFO:tensorflow:Step: 633, Loss: 5.203904, time: 13.928 sec/batch
INFO:tensorflow:Step: 651, Loss: 5.210486, time: 16.001 sec/batch
INFO:tensorflow:Step: 669, Loss: 5.310088, time: 14.322 sec/batch
INFO:tensorflow:Step: 685, Loss: 5.805853, time: 14.750 sec/batch
INFO:tensorflow:Step: 702, Loss: 5.382627, time: 12.704 sec/batch
INFO:tensorflow:Step: 718, Loss: 5.145430, time: 14.085 sec/batch
INFO:tensorflow:Step: 737, Loss: 4.882993, time: 12.483 sec/batch
INFO:tensorflow:Step: 753, Loss: 5.370710, time: 14.745 sec/batch
INFO:tensorflow:Step: 770, Loss: 6.146273, time: 12.135 sec/batch
INFO:tensorflow:Step: 785, Loss: 5.443015, time: 11.647 sec/batch
INFO:tensorflow:Step: 801, Loss: 5.073409, time: 11.180 sec/batch
INFO:tensorflow:Step: 814, Loss: 5.295042, time: 11.504 sec/batch
INFO:tensorflow:Step: 830, Loss: 6.049987, time: 13.856 sec/batch
INFO:tensorflow:Step: 847, Loss: 5.377476, time: 13.318 sec/batch
INFO:tensorflow:Step: 865, Loss: 5.548896, time: 12.156 sec/batch
INFO:tensorflow:Step: 879, Loss: 5.077595, time: 11.290 sec/batch
INFO:tensorflow:Step: 893, Loss: 5.377792, time: 12.665 sec/batch
INFO:tensorflow:Step: 910, Loss: 5.269745, time: 17.223 sec/batch
INFO:tensorflow:Step: 932, Loss: 5.274769, time: 12.751 sec/batch
INFO:tensorflow:Step: 948, Loss: 5.367956, time: 13.427 sec/batch
INFO:tensorflow:Step: 964, Loss: 5.347284, time: 11.122 sec/batch
