DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, localhost:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2212
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:2016-07-26 22:45:30.805454 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 22:45:42.378115 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.096580, time: 18.510 sec/batch
INFO:tensorflow:Step: 406, Loss: 5.212861, time: 14.042 sec/batch
INFO:tensorflow:Step: 413, Loss: 5.844959, time: 13.428 sec/batch
INFO:tensorflow:Step: 424, Loss: 5.767852, time: 10.338 sec/batch
INFO:tensorflow:Step: 437, Loss: 5.529597, time: 18.310 sec/batch
INFO:tensorflow:Step: 459, Loss: 5.035778, time: 13.555 sec/batch
INFO:tensorflow:Step: 474, Loss: 5.189617, time: 13.917 sec/batch
INFO:tensorflow:Step: 491, Loss: 5.462402, time: 14.307 sec/batch
INFO:tensorflow:Step: 509, Loss: 5.000257, time: 16.230 sec/batch
INFO:tensorflow:Step: 528, Loss: 5.737701, time: 11.769 sec/batch
INFO:tensorflow:Step: 542, Loss: 5.596702, time: 14.161 sec/batch
INFO:tensorflow:Step: 558, Loss: 5.650675, time: 12.992 sec/batch
INFO:tensorflow:Step: 575, Loss: 5.406561, time: 11.654 sec/batch
INFO:tensorflow:Step: 589, Loss: 6.556905, time: 13.547 sec/batch
INFO:tensorflow:Step: 606, Loss: 5.545967, time: 13.395 sec/batch
INFO:tensorflow:Step: 623, Loss: 5.116957, time: 12.390 sec/batch
INFO:tensorflow:Step: 640, Loss: 5.548987, time: 11.583 sec/batch
INFO:tensorflow:Step: 655, Loss: 5.815217, time: 13.192 sec/batch
INFO:tensorflow:Step: 670, Loss: 5.874845, time: 14.088 sec/batch
INFO:tensorflow:Step: 685, Loss: 5.439594, time: 15.747 sec/batch
INFO:tensorflow:Step: 703, Loss: 5.196673, time: 16.131 sec/batch
INFO:tensorflow:Step: 723, Loss: 5.211138, time: 13.455 sec/batch
INFO:tensorflow:Step: 740, Loss: 5.166587, time: 12.947 sec/batch
INFO:tensorflow:Step: 757, Loss: 5.010007, time: 14.087 sec/batch
INFO:tensorflow:Step: 775, Loss: 5.330344, time: 16.088 sec/batch
INFO:tensorflow:Step: 796, Loss: 5.680294, time: 16.965 sec/batch
INFO:tensorflow:Step: 816, Loss: 5.281053, time: 13.598 sec/batch
INFO:tensorflow:Step: 833, Loss: 5.284222, time: 11.692 sec/batch
INFO:tensorflow:Step: 850, Loss: 5.144162, time: 13.700 sec/batch
INFO:tensorflow:Step: 868, Loss: 4.946965, time: 12.659 sec/batch
INFO:tensorflow:Step: 882, Loss: 5.191677, time: 15.469 sec/batch
INFO:tensorflow:Step: 902, Loss: 5.243547, time: 10.186 sec/batch
INFO:tensorflow:Step: 916, Loss: 4.949649, time: 14.931 sec/batch
INFO:tensorflow:Step: 934, Loss: 6.079753, time: 13.162 sec/batch
INFO:tensorflow:Step: 953, Loss: 5.310495, time: 17.212 sec/batch
INFO:tensorflow:Step: 973, Loss: 5.680470, time: 14.275 sec/batch
