DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, localhost:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2207
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:2016-07-26 22:45:30.737814 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 22:45:41.689670 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.358809, time: 17.865 sec/batch
INFO:tensorflow:Step: 401, Loss: 6.022226, time: 13.447 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.246535, time: 16.670 sec/batch
INFO:tensorflow:Step: 427, Loss: 5.981693, time: 16.214 sec/batch
INFO:tensorflow:Step: 445, Loss: 5.578138, time: 14.172 sec/batch
INFO:tensorflow:Step: 462, Loss: 5.556293, time: 15.332 sec/batch
INFO:tensorflow:Step: 479, Loss: 5.411149, time: 10.442 sec/batch
INFO:tensorflow:Step: 494, Loss: 5.577321, time: 18.452 sec/batch
INFO:tensorflow:Step: 515, Loss: 5.507189, time: 14.658 sec/batch
INFO:tensorflow:Step: 533, Loss: 4.944098, time: 12.710 sec/batch
INFO:tensorflow:Step: 549, Loss: 6.333782, time: 14.594 sec/batch
INFO:tensorflow:Step: 565, Loss: 5.561671, time: 10.306 sec/batch
INFO:tensorflow:Step: 577, Loss: 5.353875, time: 12.810 sec/batch
INFO:tensorflow:Step: 593, Loss: 5.508053, time: 14.227 sec/batch
INFO:tensorflow:Step: 612, Loss: 5.408263, time: 12.343 sec/batch
INFO:tensorflow:Step: 628, Loss: 5.169409, time: 11.901 sec/batch
INFO:tensorflow:Step: 643, Loss: 5.642337, time: 16.985 sec/batch
INFO:tensorflow:Step: 664, Loss: 5.098215, time: 14.176 sec/batch
INFO:tensorflow:Step: 680, Loss: 4.945118, time: 11.325 sec/batch
INFO:tensorflow:Step: 695, Loss: 5.326196, time: 15.950 sec/batch
INFO:tensorflow:Step: 712, Loss: 5.229833, time: 15.066 sec/batch
INFO:tensorflow:Step: 731, Loss: 5.048785, time: 16.476 sec/batch
INFO:tensorflow:Step: 753, Loss: 5.316724, time: 13.417 sec/batch
INFO:tensorflow:Step: 768, Loss: 5.615849, time: 14.478 sec/batch
INFO:tensorflow:Step: 787, Loss: 5.832319, time: 13.404 sec/batch
INFO:tensorflow:Step: 804, Loss: 5.106882, time: 12.513 sec/batch
INFO:tensorflow:Step: 819, Loss: 5.118476, time: 9.759 sec/batch
INFO:tensorflow:Step: 831, Loss: 5.173487, time: 14.623 sec/batch
INFO:tensorflow:Step: 852, Loss: 5.330526, time: 12.389 sec/batch
INFO:tensorflow:Step: 868, Loss: 5.422729, time: 12.370 sec/batch
INFO:tensorflow:Step: 882, Loss: 5.091235, time: 15.503 sec/batch
INFO:tensorflow:Step: 902, Loss: 5.317836, time: 11.079 sec/batch
INFO:tensorflow:Step: 917, Loss: 6.034494, time: 15.452 sec/batch
INFO:tensorflow:Step: 936, Loss: 5.050063, time: 10.045 sec/batch
INFO:tensorflow:Step: 949, Loss: 5.193446, time: 17.750 sec/batch
INFO:tensorflow:Step: 972, Loss: 5.184044, time: 12.928 sec/batch
