DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, localhost:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2208
INFO:tensorflow:Learning rate: 0.005000, momentum: 0.300000
INFO:tensorflow:2016-07-26 23:30:31.647178 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 23:30:43.324606 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 6.235641, time: 17.600 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.903794, time: 10.740 sec/batch
INFO:tensorflow:Step: 408, Loss: 5.965262, time: 10.914 sec/batch
INFO:tensorflow:Step: 419, Loss: 4.984188, time: 13.980 sec/batch
INFO:tensorflow:Step: 434, Loss: 5.342816, time: 13.659 sec/batch
INFO:tensorflow:Step: 450, Loss: 5.668028, time: 12.654 sec/batch
INFO:tensorflow:Step: 466, Loss: 5.673388, time: 14.433 sec/batch
INFO:tensorflow:Step: 484, Loss: 5.538386, time: 13.463 sec/batch
INFO:tensorflow:Step: 501, Loss: 5.342402, time: 12.451 sec/batch
INFO:tensorflow:Step: 518, Loss: 5.511463, time: 12.378 sec/batch
INFO:tensorflow:Step: 533, Loss: 5.121709, time: 11.993 sec/batch
INFO:tensorflow:Step: 547, Loss: 5.319402, time: 18.102 sec/batch
INFO:tensorflow:Step: 569, Loss: 5.733768, time: 10.847 sec/batch
INFO:tensorflow:Step: 582, Loss: 5.301999, time: 11.300 sec/batch
INFO:tensorflow:Step: 597, Loss: 5.618206, time: 13.036 sec/batch
INFO:tensorflow:Step: 612, Loss: 5.106540, time: 13.655 sec/batch
INFO:tensorflow:Step: 629, Loss: 5.554088, time: 12.759 sec/batch
INFO:tensorflow:Step: 647, Loss: 5.331287, time: 17.605 sec/batch
INFO:tensorflow:Step: 668, Loss: 5.289824, time: 13.520 sec/batch
INFO:tensorflow:Step: 685, Loss: 4.933931, time: 14.806 sec/batch
INFO:tensorflow:Step: 703, Loss: 5.198993, time: 14.002 sec/batch
INFO:tensorflow:Step: 722, Loss: 5.492149, time: 11.973 sec/batch
INFO:tensorflow:Step: 739, Loss: 5.529434, time: 14.157 sec/batch
INFO:tensorflow:Step: 755, Loss: 4.971884, time: 12.094 sec/batch
INFO:tensorflow:Step: 770, Loss: 5.182625, time: 14.390 sec/batch
INFO:tensorflow:Step: 790, Loss: 4.818004, time: 14.156 sec/batch
INFO:tensorflow:Step: 806, Loss: 5.431417, time: 10.621 sec/batch
INFO:tensorflow:Step: 821, Loss: 5.383971, time: 13.481 sec/batch
INFO:tensorflow:Step: 839, Loss: 5.765834, time: 11.179 sec/batch
INFO:tensorflow:Step: 853, Loss: 5.315006, time: 12.310 sec/batch
INFO:tensorflow:Step: 869, Loss: 5.653709, time: 13.530 sec/batch
INFO:tensorflow:Step: 884, Loss: 5.652128, time: 16.805 sec/batch
INFO:tensorflow:Step: 906, Loss: 4.891408, time: 13.081 sec/batch
INFO:tensorflow:Step: 922, Loss: 5.524940, time: 12.574 sec/batch
INFO:tensorflow:Step: 939, Loss: 5.185020, time: 19.725 sec/batch
INFO:tensorflow:Step: 962, Loss: 5.153402, time: 11.469 sec/batch
INFO:tensorflow:Step: 977, Loss: 5.615638, time: 13.476 sec/batch
INFO:tensorflow:Step: 995, Loss: 5.931592, time: 11.884 sec/batch
INFO:tensorflow:Step: 1009, Loss: 5.439300, time: 15.777 sec/batch
INFO:tensorflow:Step: 1029, Loss: 5.306433, time: 12.628 sec/batch
INFO:tensorflow:Step: 1044, Loss: 5.568151, time: 13.945 sec/batch
INFO:tensorflow:Step: 1062, Loss: 5.208593, time: 13.474 sec/batch
INFO:tensorflow:Step: 1079, Loss: 5.263915, time: 15.643 sec/batch
INFO:tensorflow:Step: 1099, Loss: 5.228257, time: 15.035 sec/batch
INFO:tensorflow:Step: 1118, Loss: 5.694655, time: 13.130 sec/batch
INFO:tensorflow:Step: 1136, Loss: 5.158860, time: 11.396 sec/batch
INFO:tensorflow:Step: 1150, Loss: 5.705884, time: 9.946 sec/batch
INFO:tensorflow:Step: 1163, Loss: 5.051301, time: 12.316 sec/batch
INFO:tensorflow:Step: 1179, Loss: 5.104378, time: 15.376 sec/batch
INFO:tensorflow:Step: 1199, Loss: 6.127900, time: 12.396 sec/batch
INFO:tensorflow:Step: 1216, Loss: 5.319470, time: 12.463 sec/batch
