DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, localhost:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2206
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 2
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 8
INFO:tensorflow:Tokens per step: 8
INFO:tensorflow:2016-07-26 20:22:14.979382 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 20:22:30.148332 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.808113, time: 38.228 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.862950, time: 16.134 sec/batch
INFO:tensorflow:Step: 403, Loss: 6.736434, time: 15.522 sec/batch
INFO:tensorflow:Step: 405, Loss: 6.119987, time: 13.282 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.891714, time: 13.930 sec/batch
INFO:tensorflow:Step: 409, Loss: 5.458128, time: 13.685 sec/batch
INFO:tensorflow:Step: 411, Loss: 4.930139, time: 11.886 sec/batch
INFO:tensorflow:Step: 413, Loss: 5.247036, time: 12.954 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.793557, time: 14.343 sec/batch
INFO:tensorflow:Step: 417, Loss: 4.928918, time: 13.709 sec/batch
INFO:tensorflow:Step: 419, Loss: 5.451359, time: 15.608 sec/batch
INFO:tensorflow:Step: 421, Loss: 5.025034, time: 13.795 sec/batch
INFO:tensorflow:Step: 423, Loss: 5.297188, time: 13.326 sec/batch
INFO:tensorflow:Step: 425, Loss: 5.149785, time: 13.546 sec/batch
INFO:tensorflow:Step: 427, Loss: 5.128497, time: 14.276 sec/batch
INFO:tensorflow:Step: 429, Loss: 5.970273, time: 14.618 sec/batch
INFO:tensorflow:Step: 431, Loss: 5.650617, time: 12.132 sec/batch
INFO:tensorflow:Step: 433, Loss: 5.197587, time: 13.320 sec/batch
INFO:tensorflow:Step: 435, Loss: 5.226882, time: 12.711 sec/batch
INFO:tensorflow:Step: 437, Loss: 5.797793, time: 13.163 sec/batch
INFO:tensorflow:Step: 439, Loss: 4.921206, time: 13.258 sec/batch
INFO:tensorflow:Step: 441, Loss: 5.883580, time: 12.986 sec/batch
INFO:tensorflow:Step: 443, Loss: 5.659522, time: 14.026 sec/batch
INFO:tensorflow:Step: 445, Loss: 5.630036, time: 14.498 sec/batch
INFO:tensorflow:Step: 447, Loss: 5.498914, time: 15.014 sec/batch
INFO:tensorflow:Step: 449, Loss: 5.574558, time: 16.016 sec/batch
INFO:tensorflow:Step: 452, Loss: 5.465023, time: 17.867 sec/batch
INFO:tensorflow:Step: 454, Loss: 5.736355, time: 17.166 sec/batch
INFO:tensorflow:Step: 456, Loss: 5.564178, time: 16.156 sec/batch
INFO:tensorflow:Step: 458, Loss: 5.082695, time: 16.801 sec/batch
INFO:tensorflow:Step: 460, Loss: 5.096796, time: 16.413 sec/batch
INFO:tensorflow:Step: 462, Loss: 5.188326, time: 16.468 sec/batch
INFO:tensorflow:Step: 464, Loss: 5.609583, time: 16.921 sec/batch
INFO:tensorflow:Step: 466, Loss: 5.130159, time: 17.024 sec/batch
INFO:tensorflow:Step: 468, Loss: 5.338655, time: 17.137 sec/batch
INFO:tensorflow:Step: 470, Loss: 5.598188, time: 17.200 sec/batch
INFO:tensorflow:Step: 472, Loss: 4.867078, time: 17.156 sec/batch
INFO:tensorflow:Step: 474, Loss: 5.664424, time: 16.814 sec/batch
INFO:tensorflow:Step: 476, Loss: 5.966634, time: 16.997 sec/batch
INFO:tensorflow:Step: 477, Loss: 5.205291, time: 16.564 sec/batch
INFO:tensorflow:Step: 479, Loss: 5.465319, time: 16.593 sec/batch
INFO:tensorflow:Step: 482, Loss: 5.359207, time: 16.675 sec/batch
INFO:tensorflow:Step: 483, Loss: 5.400259, time: 16.383 sec/batch
INFO:tensorflow:Step: 486, Loss: 4.877515, time: 18.068 sec/batch
INFO:tensorflow:Step: 488, Loss: 5.154509, time: 15.214 sec/batch
INFO:tensorflow:Step: 490, Loss: 5.114646, time: 16.387 sec/batch
INFO:tensorflow:Step: 492, Loss: 4.813854, time: 16.606 sec/batch
INFO:tensorflow:Step: 494, Loss: 5.997119, time: 17.165 sec/batch
INFO:tensorflow:Step: 496, Loss: 5.458529, time: 16.947 sec/batch
INFO:tensorflow:Step: 498, Loss: 5.160001, time: 17.009 sec/batch
