DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, localhost:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2211
INFO:tensorflow:Learning rate: 0.005000, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 2
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 8
INFO:tensorflow:Tokens per step: 8
INFO:tensorflow:2016-07-27 00:15:40.225004 Supervisor
INFO:tensorflow:got sessions! 2016-07-27 00:15:56.292678 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.201931, time: 32.242 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.320330, time: 18.373 sec/batch
INFO:tensorflow:Step: 402, Loss: 5.168993, time: 11.664 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.249221, time: 12.837 sec/batch
INFO:tensorflow:Step: 405, Loss: 5.023956, time: 12.307 sec/batch
INFO:tensorflow:Step: 407, Loss: 6.213200, time: 15.252 sec/batch
INFO:tensorflow:Step: 409, Loss: 5.351973, time: 14.016 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.284847, time: 16.523 sec/batch
INFO:tensorflow:Step: 413, Loss: 5.431123, time: 16.963 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.324945, time: 16.866 sec/batch
INFO:tensorflow:Step: 418, Loss: 5.679374, time: 21.819 sec/batch
INFO:tensorflow:Step: 420, Loss: 5.378858, time: 18.429 sec/batch
INFO:tensorflow:Step: 422, Loss: 5.398379, time: 19.818 sec/batch
INFO:tensorflow:Step: 424, Loss: 5.413781, time: 15.598 sec/batch
INFO:tensorflow:Step: 426, Loss: 5.132040, time: 19.708 sec/batch
INFO:tensorflow:Step: 428, Loss: 5.358149, time: 19.629 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.278360, time: 15.606 sec/batch
INFO:tensorflow:Step: 432, Loss: 5.471244, time: 18.300 sec/batch
INFO:tensorflow:Step: 434, Loss: 5.552145, time: 14.962 sec/batch
INFO:tensorflow:Step: 436, Loss: 5.484118, time: 18.178 sec/batch
INFO:tensorflow:Step: 438, Loss: 5.292402, time: 18.271 sec/batch
INFO:tensorflow:Step: 439, Loss: 4.952778, time: 18.367 sec/batch
INFO:tensorflow:Step: 441, Loss: 5.422310, time: 18.679 sec/batch
INFO:tensorflow:Step: 443, Loss: 5.951653, time: 16.410 sec/batch
INFO:tensorflow:Step: 446, Loss: 5.208976, time: 18.911 sec/batch
INFO:tensorflow:Step: 448, Loss: 5.057479, time: 18.170 sec/batch
INFO:tensorflow:Step: 450, Loss: 5.206670, time: 18.116 sec/batch
INFO:tensorflow:Step: 452, Loss: 5.874349, time: 20.303 sec/batch
INFO:tensorflow:Step: 454, Loss: 5.392718, time: 16.147 sec/batch
INFO:tensorflow:Step: 456, Loss: 5.546552, time: 18.957 sec/batch
INFO:tensorflow:Step: 458, Loss: 5.027483, time: 19.553 sec/batch
INFO:tensorflow:Step: 460, Loss: 5.432042, time: 16.407 sec/batch
INFO:tensorflow:Step: 462, Loss: 5.419569, time: 16.084 sec/batch
INFO:tensorflow:Step: 464, Loss: 5.056922, time: 15.319 sec/batch
INFO:tensorflow:Step: 466, Loss: 5.350752, time: 14.397 sec/batch
INFO:tensorflow:Step: 468, Loss: 5.312612, time: 15.181 sec/batch
INFO:tensorflow:Step: 470, Loss: 5.472961, time: 14.750 sec/batch
INFO:tensorflow:Step: 472, Loss: 5.086605, time: 14.231 sec/batch
INFO:tensorflow:Step: 474, Loss: 5.230088, time: 15.112 sec/batch
INFO:tensorflow:Step: 476, Loss: 5.368135, time: 14.533 sec/batch
INFO:tensorflow:Step: 478, Loss: 5.629022, time: 14.202 sec/batch
INFO:tensorflow:Step: 480, Loss: 5.809343, time: 15.637 sec/batch
INFO:tensorflow:Step: 482, Loss: 5.402673, time: 15.014 sec/batch
INFO:tensorflow:Step: 484, Loss: 5.094744, time: 13.932 sec/batch
INFO:tensorflow:Step: 486, Loss: 5.273915, time: 16.854 sec/batch
INFO:tensorflow:Step: 488, Loss: 5.484457, time: 15.318 sec/batch
INFO:tensorflow:Step: 490, Loss: 5.223391, time: 15.419 sec/batch
INFO:tensorflow:Step: 492, Loss: 5.392729, time: 16.064 sec/batch
INFO:tensorflow:Step: 494, Loss: 5.150627, time: 18.281 sec/batch
INFO:tensorflow:Step: 496, Loss: 5.109175, time: 13.642 sec/batch
INFO:tensorflow:Step: 498, Loss: 5.223284, time: 16.486 sec/batch
INFO:tensorflow:Step: 500, Loss: 5.352468, time: 17.438 sec/batch
INFO:tensorflow:Step: 502, Loss: 4.994893, time: 15.870 sec/batch
INFO:tensorflow:Step: 503, Loss: 5.338781, time: 17.715 sec/batch
INFO:tensorflow:Step: 506, Loss: 4.934471, time: 14.513 sec/batch
INFO:tensorflow:Step: 507, Loss: 5.405443, time: 15.941 sec/batch
INFO:tensorflow:Step: 510, Loss: 5.170540, time: 16.079 sec/batch
INFO:tensorflow:Step: 512, Loss: 5.091780, time: 16.131 sec/batch
INFO:tensorflow:Step: 513, Loss: 5.443786, time: 16.238 sec/batch
INFO:tensorflow:Step: 516, Loss: 4.721058, time: 16.926 sec/batch
INFO:tensorflow:Step: 518, Loss: 5.050716, time: 17.655 sec/batch
INFO:tensorflow:Step: 520, Loss: 5.362515, time: 14.708 sec/batch
INFO:tensorflow:Step: 522, Loss: 5.459447, time: 15.481 sec/batch
INFO:tensorflow:Step: 524, Loss: 4.949290, time: 14.665 sec/batch
INFO:tensorflow:Step: 526, Loss: 5.379797, time: 14.425 sec/batch
INFO:tensorflow:Step: 528, Loss: 5.255710, time: 14.475 sec/batch
INFO:tensorflow:Step: 530, Loss: 5.249425, time: 15.132 sec/batch
INFO:tensorflow:Step: 532, Loss: 5.329435, time: 15.187 sec/batch
INFO:tensorflow:Step: 534, Loss: 5.372759, time: 15.647 sec/batch
INFO:tensorflow:Step: 536, Loss: 5.185009, time: 14.692 sec/batch
INFO:tensorflow:Step: 538, Loss: 5.363757, time: 14.347 sec/batch
INFO:tensorflow:Step: 540, Loss: 5.565831, time: 13.835 sec/batch
INFO:tensorflow:Step: 542, Loss: 5.532043, time: 14.187 sec/batch
INFO:tensorflow:Step: 544, Loss: 5.363186, time: 14.213 sec/batch
INFO:tensorflow:Step: 546, Loss: 5.441745, time: 14.707 sec/batch
INFO:tensorflow:Step: 548, Loss: 5.344706, time: 15.325 sec/batch
INFO:tensorflow:Step: 550, Loss: 4.999617, time: 14.137 sec/batch
INFO:tensorflow:Step: 552, Loss: 5.348057, time: 14.108 sec/batch
INFO:tensorflow:Step: 554, Loss: 5.401777, time: 14.462 sec/batch
INFO:tensorflow:Step: 556, Loss: 5.115239, time: 14.296 sec/batch
INFO:tensorflow:Step: 558, Loss: 5.179659, time: 14.977 sec/batch
INFO:tensorflow:Step: 560, Loss: 5.150744, time: 15.007 sec/batch
INFO:tensorflow:Step: 562, Loss: 4.761104, time: 15.088 sec/batch
INFO:tensorflow:Step: 564, Loss: 5.068324, time: 13.825 sec/batch
INFO:tensorflow:Step: 566, Loss: 5.334722, time: 13.768 sec/batch
INFO:tensorflow:Step: 568, Loss: 5.220707, time: 14.450 sec/batch
INFO:tensorflow:Step: 570, Loss: 4.900253, time: 14.160 sec/batch
INFO:tensorflow:Step: 572, Loss: 5.269001, time: 15.172 sec/batch
INFO:tensorflow:Step: 574, Loss: 4.982343, time: 15.034 sec/batch
INFO:tensorflow:Step: 576, Loss: 5.067731, time: 14.928 sec/batch
INFO:tensorflow:Step: 578, Loss: 5.259862, time: 14.889 sec/batch
INFO:tensorflow:Step: 580, Loss: 5.029148, time: 14.813 sec/batch
INFO:tensorflow:Step: 582, Loss: 5.557046, time: 14.535 sec/batch
INFO:tensorflow:Step: 584, Loss: 5.098342, time: 14.542 sec/batch
INFO:tensorflow:Step: 586, Loss: 5.339333, time: 15.098 sec/batch
INFO:tensorflow:Step: 588, Loss: 5.112541, time: 14.907 sec/batch
INFO:tensorflow:Step: 590, Loss: 5.296678, time: 14.444 sec/batch
INFO:tensorflow:Step: 592, Loss: 4.992305, time: 13.951 sec/batch
INFO:tensorflow:Step: 594, Loss: 5.207908, time: 14.783 sec/batch
INFO:tensorflow:Step: 596, Loss: 5.056731, time: 14.876 sec/batch
INFO:tensorflow:Step: 598, Loss: 5.052155, time: 14.388 sec/batch
INFO:tensorflow:Step: 600, Loss: 5.682909, time: 14.559 sec/batch
INFO:tensorflow:Step: 602, Loss: 5.005706, time: 14.639 sec/batch
INFO:tensorflow:Step: 604, Loss: 5.300354, time: 15.330 sec/batch
INFO:tensorflow:Step: 606, Loss: 5.122960, time: 13.976 sec/batch
INFO:tensorflow:Step: 607, Loss: 5.447061, time: 15.352 sec/batch
INFO:tensorflow:Step: 610, Loss: 5.249436, time: 16.118 sec/batch
INFO:tensorflow:Step: 612, Loss: 4.892844, time: 16.280 sec/batch
INFO:tensorflow:Step: 614, Loss: 4.746183, time: 14.768 sec/batch
INFO:tensorflow:Step: 616, Loss: 5.111761, time: 15.830 sec/batch
INFO:tensorflow:Step: 618, Loss: 5.375564, time: 15.855 sec/batch
INFO:tensorflow:Step: 620, Loss: 5.064183, time: 16.626 sec/batch
INFO:tensorflow:Step: 622, Loss: 5.408335, time: 14.609 sec/batch
INFO:tensorflow:Step: 624, Loss: 5.135512, time: 15.996 sec/batch
INFO:tensorflow:Step: 626, Loss: 4.806641, time: 15.308 sec/batch
INFO:tensorflow:Step: 628, Loss: 5.192704, time: 15.988 sec/batch
INFO:tensorflow:Step: 630, Loss: 5.011423, time: 16.023 sec/batch
INFO:tensorflow:Step: 632, Loss: 5.115783, time: 16.570 sec/batch
INFO:tensorflow:Step: 634, Loss: 5.758608, time: 15.946 sec/batch
INFO:tensorflow:Step: 636, Loss: 5.408040, time: 15.100 sec/batch
INFO:tensorflow:Step: 638, Loss: 5.030966, time: 15.787 sec/batch
INFO:tensorflow:Step: 639, Loss: 5.282827, time: 15.975 sec/batch
INFO:tensorflow:Step: 642, Loss: 5.282212, time: 16.455 sec/batch
INFO:tensorflow:Step: 644, Loss: 5.380798, time: 16.163 sec/batch
INFO:tensorflow:Step: 646, Loss: 5.168716, time: 16.027 sec/batch
INFO:tensorflow:Step: 648, Loss: 4.919658, time: 14.981 sec/batch
INFO:tensorflow:Step: 650, Loss: 5.144165, time: 14.772 sec/batch
INFO:tensorflow:Step: 652, Loss: 5.046114, time: 15.682 sec/batch
INFO:tensorflow:Step: 654, Loss: 5.078780, time: 15.982 sec/batch
INFO:tensorflow:Step: 656, Loss: 5.284822, time: 15.635 sec/batch
INFO:tensorflow:Step: 658, Loss: 5.200496, time: 16.129 sec/batch
INFO:tensorflow:Step: 660, Loss: 5.055926, time: 16.176 sec/batch
INFO:tensorflow:Step: 662, Loss: 5.256061, time: 16.140 sec/batch
INFO:tensorflow:Step: 664, Loss: 5.063343, time: 15.027 sec/batch
INFO:tensorflow:Step: 666, Loss: 4.998470, time: 14.987 sec/batch
INFO:tensorflow:Step: 668, Loss: 4.905766, time: 13.748 sec/batch
INFO:tensorflow:Step: 670, Loss: 4.758551, time: 13.878 sec/batch
INFO:tensorflow:Step: 672, Loss: 5.066066, time: 14.515 sec/batch
INFO:tensorflow:Step: 674, Loss: 5.186658, time: 15.056 sec/batch
INFO:tensorflow:Step: 676, Loss: 5.147823, time: 13.814 sec/batch
INFO:tensorflow:Step: 678, Loss: 5.228427, time: 15.542 sec/batch
INFO:tensorflow:Step: 680, Loss: 5.189881, time: 14.817 sec/batch
INFO:tensorflow:Step: 682, Loss: 5.194744, time: 15.379 sec/batch
INFO:tensorflow:Step: 685, Loss: 4.992502, time: 15.352 sec/batch
INFO:tensorflow:Step: 687, Loss: 4.840852, time: 16.570 sec/batch
INFO:tensorflow:Step: 689, Loss: 5.356275, time: 13.237 sec/batch
INFO:tensorflow:Step: 691, Loss: 5.479554, time: 16.012 sec/batch
INFO:tensorflow:Step: 693, Loss: 5.135986, time: 14.538 sec/batch
INFO:tensorflow:Step: 695, Loss: 4.927269, time: 13.917 sec/batch
INFO:tensorflow:Step: 697, Loss: 5.564607, time: 14.052 sec/batch
INFO:tensorflow:Step: 699, Loss: 5.021790, time: 13.944 sec/batch
INFO:tensorflow:Step: 701, Loss: 4.859510, time: 13.578 sec/batch
INFO:tensorflow:Step: 703, Loss: 4.991457, time: 14.234 sec/batch
INFO:tensorflow:Step: 705, Loss: 4.863092, time: 13.745 sec/batch
INFO:tensorflow:Step: 707, Loss: 5.205987, time: 14.152 sec/batch
INFO:tensorflow:Step: 709, Loss: 5.312162, time: 14.355 sec/batch
INFO:tensorflow:Step: 711, Loss: 5.053314, time: 14.276 sec/batch
INFO:tensorflow:Step: 713, Loss: 5.663299, time: 14.887 sec/batch
INFO:tensorflow:Step: 715, Loss: 5.175345, time: 14.856 sec/batch
INFO:tensorflow:Step: 717, Loss: 5.140438, time: 14.587 sec/batch
INFO:tensorflow:Step: 719, Loss: 5.100641, time: 15.080 sec/batch
INFO:tensorflow:Step: 722, Loss: 5.012928, time: 15.894 sec/batch
INFO:tensorflow:Step: 724, Loss: 5.221966, time: 15.089 sec/batch
INFO:tensorflow:Step: 725, Loss: 5.051954, time: 14.997 sec/batch
INFO:tensorflow:Step: 728, Loss: 5.620751, time: 15.338 sec/batch
INFO:tensorflow:Step: 730, Loss: 5.164979, time: 15.469 sec/batch
INFO:tensorflow:Step: 732, Loss: 5.053367, time: 15.353 sec/batch
run-expr-32node.sh: line 23: 49375 Terminated              CUDA_VISIBLE_DEVICES='' bazel-bin/inception/imagenet_distributed_train --batch_size=16 --data_dir=/lfs/local/0/daniter/16node-data-$2 --job_name='worker' --task_id=$2 --ps_hosts='raiders1:2200' --worker_hosts='raiders1:2201,raiders1:2202,raiders1:2203,raiders1:2204,raiders2:2205,raiders2:2206,raiders2:2207,raiders2:2208,raiders3:2209,raiders3:2210,raiders3:2211,raiders3:2212,raiders8:2213,raiders8:2214,raiders8:2215,raiders8:2216' --initial_learning_rate=$3 --momentum=$4 --sync=True --compute_groups=$5
