DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders3
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, localhost:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2212
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 4
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 4
INFO:tensorflow:Tokens per step: 4
INFO:tensorflow:2016-07-26 19:37:13.910338 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 19:37:29.438616 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.031760, time: 31.309 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.198645, time: 21.856 sec/batch
INFO:tensorflow:Step: 406, Loss: 5.959538, time: 16.011 sec/batch
INFO:tensorflow:Step: 408, Loss: 5.716819, time: 14.630 sec/batch
INFO:tensorflow:Step: 412, Loss: 5.539677, time: 12.518 sec/batch
INFO:tensorflow:Step: 416, Loss: 5.121565, time: 12.404 sec/batch
INFO:tensorflow:Step: 420, Loss: 5.384037, time: 12.557 sec/batch
INFO:tensorflow:Step: 424, Loss: 5.610454, time: 12.362 sec/batch
INFO:tensorflow:Step: 427, Loss: 5.057195, time: 13.796 sec/batch
INFO:tensorflow:Step: 432, Loss: 5.703978, time: 13.474 sec/batch
INFO:tensorflow:Step: 436, Loss: 5.335166, time: 13.408 sec/batch
INFO:tensorflow:Step: 440, Loss: 5.865767, time: 15.794 sec/batch
INFO:tensorflow:Step: 445, Loss: 5.681275, time: 14.340 sec/batch
INFO:tensorflow:Step: 449, Loss: 5.794935, time: 15.239 sec/batch
INFO:tensorflow:Step: 452, Loss: 5.318325, time: 16.187 sec/batch
INFO:tensorflow:Step: 455, Loss: 5.353377, time: 12.156 sec/batch
INFO:tensorflow:Step: 459, Loss: 5.504587, time: 15.066 sec/batch
INFO:tensorflow:Step: 463, Loss: 5.688843, time: 14.756 sec/batch
INFO:tensorflow:Step: 468, Loss: 6.106147, time: 15.519 sec/batch
INFO:tensorflow:Step: 472, Loss: 5.617321, time: 15.742 sec/batch
INFO:tensorflow:Step: 477, Loss: 5.282687, time: 14.728 sec/batch
INFO:tensorflow:Step: 481, Loss: 4.964373, time: 14.651 sec/batch
INFO:tensorflow:Step: 485, Loss: 5.276326, time: 15.119 sec/batch
INFO:tensorflow:Step: 489, Loss: 5.093173, time: 15.392 sec/batch
INFO:tensorflow:Step: 493, Loss: 5.226495, time: 14.047 sec/batch
INFO:tensorflow:Step: 497, Loss: 5.821281, time: 14.546 sec/batch
INFO:tensorflow:Step: 501, Loss: 5.101704, time: 14.915 sec/batch
INFO:tensorflow:Step: 505, Loss: 5.400737, time: 13.864 sec/batch
INFO:tensorflow:Step: 509, Loss: 5.127112, time: 14.793 sec/batch
INFO:tensorflow:Step: 513, Loss: 4.926771, time: 15.539 sec/batch
INFO:tensorflow:Step: 517, Loss: 5.216204, time: 14.628 sec/batch
INFO:tensorflow:Step: 521, Loss: 5.274030, time: 14.548 sec/batch
INFO:tensorflow:Step: 525, Loss: 5.009058, time: 14.211 sec/batch
INFO:tensorflow:Step: 529, Loss: 6.637073, time: 14.909 sec/batch
INFO:tensorflow:Step: 533, Loss: 5.341282, time: 15.259 sec/batch
INFO:tensorflow:Step: 537, Loss: 5.395421, time: 15.444 sec/batch
INFO:tensorflow:Step: 541, Loss: 5.321847, time: 14.405 sec/batch
INFO:tensorflow:Step: 545, Loss: 4.869743, time: 12.426 sec/batch
INFO:tensorflow:Step: 548, Loss: 5.824601, time: 15.264 sec/batch
