DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, localhost:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2207
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 4
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 4
INFO:tensorflow:Tokens per step: 4
INFO:tensorflow:2016-07-26 19:37:13.682913 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 19:37:28.925689 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 5.293570, time: 31.308 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.811557, time: 23.173 sec/batch
INFO:tensorflow:Step: 406, Loss: 5.295617, time: 16.639 sec/batch
INFO:tensorflow:Step: 410, Loss: 6.261654, time: 11.723 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.282737, time: 12.138 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.310646, time: 14.279 sec/batch
INFO:tensorflow:Step: 420, Loss: 5.531622, time: 17.425 sec/batch
INFO:tensorflow:Step: 426, Loss: 5.583109, time: 13.892 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.519437, time: 15.234 sec/batch
INFO:tensorflow:Step: 434, Loss: 4.976031, time: 12.666 sec/batch
INFO:tensorflow:Step: 437, Loss: 6.232971, time: 10.144 sec/batch
INFO:tensorflow:Step: 441, Loss: 5.526815, time: 10.496 sec/batch
INFO:tensorflow:Step: 444, Loss: 5.420833, time: 14.412 sec/batch
INFO:tensorflow:Step: 448, Loss: 5.292902, time: 15.163 sec/batch
INFO:tensorflow:Step: 450, Loss: 5.400593, time: 10.857 sec/batch
INFO:tensorflow:Step: 454, Loss: 5.058897, time: 10.218 sec/batch
INFO:tensorflow:Step: 458, Loss: 5.506020, time: 12.590 sec/batch
INFO:tensorflow:Step: 460, Loss: 5.053888, time: 13.336 sec/batch
INFO:tensorflow:Step: 464, Loss: 4.923465, time: 10.946 sec/batch
INFO:tensorflow:Step: 467, Loss: 5.195641, time: 9.540 sec/batch
INFO:tensorflow:Step: 471, Loss: 5.706070, time: 10.627 sec/batch
INFO:tensorflow:Step: 473, Loss: 4.954590, time: 11.016 sec/batch
INFO:tensorflow:Step: 476, Loss: 5.602393, time: 11.059 sec/batch
INFO:tensorflow:Step: 480, Loss: 5.265124, time: 13.943 sec/batch
INFO:tensorflow:Step: 484, Loss: 5.780709, time: 14.842 sec/batch
INFO:tensorflow:Step: 488, Loss: 5.189198, time: 15.136 sec/batch
INFO:tensorflow:Step: 492, Loss: 4.866843, time: 15.350 sec/batch
INFO:tensorflow:Step: 496, Loss: 5.088571, time: 16.111 sec/batch
INFO:tensorflow:Step: 500, Loss: 5.324060, time: 13.916 sec/batch
INFO:tensorflow:Step: 504, Loss: 5.512304, time: 13.420 sec/batch
INFO:tensorflow:Step: 507, Loss: 5.084882, time: 13.324 sec/batch
INFO:tensorflow:Step: 511, Loss: 5.456954, time: 15.381 sec/batch
INFO:tensorflow:Step: 515, Loss: 5.857398, time: 14.804 sec/batch
INFO:tensorflow:Step: 519, Loss: 5.237585, time: 14.774 sec/batch
INFO:tensorflow:Step: 523, Loss: 5.428051, time: 13.646 sec/batch
INFO:tensorflow:Step: 526, Loss: 5.303538, time: 15.253 sec/batch
INFO:tensorflow:Step: 530, Loss: 5.607668, time: 15.512 sec/batch
INFO:tensorflow:Step: 534, Loss: 5.126562, time: 15.374 sec/batch
INFO:tensorflow:Step: 538, Loss: 4.940183, time: 14.615 sec/batch
