I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders1
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders1
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  367.27  Thu Jun  9 18:53:27 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.3) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 367.27.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {localhost:2201, raiders1:2202, raiders1:2203, raiders1:2204, raiders2:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2201
INFO:tensorflow:Learning rate: 0.005000, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 4
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 4
INFO:tensorflow:Tokens per step: 4
INFO:tensorflow:2016-07-26 21:58:14.951470 Supervisor
INFO:tensorflow:Restored model from /lfs/local/0/daniter/cg-snapshot/model.ckpt-399
INFO:tensorflow:got sessions! 2016-07-26 21:59:13.394013 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:global_step/sec: 0
INFO:tensorflow:Step: 399, Loss: 5.652728, time: 19.428 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.751216, time: 19.481 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.361981, time: 18.886 sec/batch
INFO:tensorflow:Step: 411, Loss: 4.700727, time: 14.201 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.253319, time: 18.475 sec/batch
INFO:tensorflow:global_step/sec: 0.201401
INFO:tensorflow:Step: 420, Loss: 4.797471, time: 16.703 sec/batch
INFO:tensorflow:Step: 425, Loss: 5.513523, time: 16.374 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.121532, time: 16.541 sec/batch
INFO:tensorflow:Step: 435, Loss: 5.628069, time: 16.644 sec/batch
INFO:tensorflow:Step: 440, Loss: 4.753450, time: 14.687 sec/batch
INFO:tensorflow:Step: 444, Loss: 5.243669, time: 15.721 sec/batch
INFO:tensorflow:Step: 449, Loss: 5.656613, time: 16.042 sec/batch
INFO:tensorflow:Step: 454, Loss: 5.365118, time: 16.350 sec/batch
INFO:tensorflow:global_step/sec: 0.308038
INFO:tensorflow:Step: 459, Loss: 5.600237, time: 17.289 sec/batch
INFO:tensorflow:Step: 464, Loss: 6.013980, time: 17.859 sec/batch
INFO:tensorflow:Step: 469, Loss: 5.081329, time: 18.134 sec/batch
INFO:tensorflow:Step: 474, Loss: 5.480928, time: 17.406 sec/batch
INFO:tensorflow:Step: 479, Loss: 5.170833, time: 15.046 sec/batch
INFO:tensorflow:Step: 484, Loss: 5.178532, time: 16.454 sec/batch
INFO:tensorflow:Step: 489, Loss: 5.372580, time: 15.881 sec/batch
INFO:tensorflow:global_step/sec: 0.275231
INFO:tensorflow:Step: 493, Loss: 5.559473, time: 16.250 sec/batch
INFO:tensorflow:Step: 497, Loss: 5.212523, time: 15.096 sec/batch
INFO:tensorflow:Step: 501, Loss: 5.047246, time: 15.644 sec/batch
INFO:tensorflow:Step: 505, Loss: 5.217426, time: 16.209 sec/batch
INFO:tensorflow:Step: 509, Loss: 5.766633, time: 15.855 sec/batch
INFO:tensorflow:Step: 513, Loss: 5.338720, time: 16.449 sec/batch
INFO:tensorflow:Step: 517, Loss: 5.300188, time: 16.180 sec/batch
INFO:tensorflow:global_step/sec: 0.258387
INFO:tensorflow:Step: 521, Loss: 5.254000, time: 15.378 sec/batch
INFO:tensorflow:Step: 525, Loss: 5.852399, time: 17.228 sec/batch
INFO:tensorflow:Step: 530, Loss: 5.525681, time: 18.046 sec/batch
INFO:tensorflow:Step: 536, Loss: 5.481785, time: 17.820 sec/batch
INFO:tensorflow:Step: 540, Loss: 4.974081, time: 17.091 sec/batch
INFO:tensorflow:Step: 544, Loss: 5.128052, time: 17.482 sec/batch
INFO:tensorflow:Step: 548, Loss: 5.171799, time: 16.974 sec/batch
INFO:tensorflow:global_step/sec: 0.258029
INFO:tensorflow:Step: 552, Loss: 5.021433, time: 15.911 sec/batch
INFO:tensorflow:Step: 556, Loss: 5.240218, time: 15.268 sec/batch
INFO:tensorflow:Step: 560, Loss: 5.141621, time: 15.386 sec/batch
